B9J08_003268	CJI97_003343
B9J08_001282	CJI97_001324
B9J08_005033	CJI97_005117
B9J08_004405	CJI97_004468
B9J08_002021	CJI97_002212
B9J08_003613	CJI97_003686
B9J08_002058	CJI97_002249
B9J08_004960	CJI97_005044
B9J08_004530	CJI97_004922
B9J08_003674	CJI97_003749
B9J08_001916	CJI97_002577
B9J08_004694	CJI97_004757
B9J08_001195	CJI97_001411
B9J08_001756	CJI97_002417
B9J08_001853	CJI97_002514
B9J08_002488	CJI97_002032
B9J08_003546	CJI97_003619
B9J08_001543	CJI97_001766
B9J08_004902	CJI97_004986
B9J08_005189	CJI97_005273
B9J08_002099	CJI97_002290
B9J08_001879	CJI97_002540
B9J08_000268	CJI97_000269
B9J08_003200	CJI97_003271
B9J08_003489	CJI97_003563
B9J08_005567	CJI97_005617
B9J08_001009	CJI97_001029
B9J08_001694	CJI97_002356
B9J08_004783	CJI97_004669
B9J08_003311	CJI97_003386
B9J08_002618	CJI97_002672
B9J08_004398	CJI97_004461
B9J08_004674	CJI97_004778
B9J08_003820	CJI97_003893
B9J08_001699	CJI97_002361
B9J08_004588	CJI97_004864
B9J08_003242	CJI97_003317
B9J08_003661	CJI97_003736
B9J08_003172	CJI97_003244
B9J08_002921	CJI97_002995
B9J08_003136	CJI97_003208
B9J08_003594	CJI97_003667
B9J08_002614	CJI97_002668
B9J08_000157	CJI97_000160
B9J08_002422	CJI97_001966
B9J08_002172	CJI97_001609
B9J08_005379	CJI97_005462
B9J08_001391	CJI97_001213
B9J08_004882	CJI97_004570
B9J08_004049	CJI97_003975
B9J08_004122	CJI97_004185
B9J08_005408	CJI97_005491
B9J08_003914	CJI97_004107
B9J08_002097	CJI97_002288
B9J08_002004	CJI97_002195
B9J08_004397	CJI97_004460
B9J08_005068	CJI97_005153
B9J08_003240	CJI97_003315
B9J08_002430	CJI97_001974
B9J08_005451	CJI97_005534
B9J08_001204	CJI97_001402
B9J08_003575	CJI97_003648
B9J08_005327	CJI97_005410
B9J08_005159	CJI97_005243
B9J08_002245	CJI97_001788
B9J08_005261	CJI97_005344
B9J08_005314	CJI97_005398
B9J08_004841	CJI97_004611
B9J08_003550	CJI97_003623
B9J08_000488	CJI97_000488
B9J08_001322	CJI97_001282
B9J08_002357	CJI97_001902
B9J08_002275	CJI97_001818
B9J08_004591	CJI97_004861
B9J08_005458	CJI97_005541
B9J08_000040	CJI97_000046
B9J08_004454	CJI97_004518
B9J08_001932	CJI97_002593
B9J08_003468	CJI97_003542
B9J08_003018	CJI97_003089
B9J08_000505	CJI97_000506
B9J08_005428	CJI97_005511
B9J08_003514	CJI97_003587
B9J08_001693	CJI97_002355
B9J08_000845	CJI97_000863
B9J08_000096	CJI97_000101
B9J08_000404	CJI97_000404
B9J08_001341	CJI97_001263
B9J08_000803	CJI97_000804
B9J08_001996	CJI97_002187
B9J08_001359	CJI97_001245
B9J08_001119	CJI97_001487
B9J08_004833	CJI97_004619
B9J08_000575	CJI97_000577
B9J08_000751	CJI97_000752
B9J08_004438	CJI97_004502
B9J08_003638	CJI97_003712
B9J08_002994	CJI97_003065
B9J08_000419	CJI97_000419
B9J08_001295	CJI97_001310
B9J08_001826	CJI97_002487
B9J08_000047	CJI97_000053
B9J08_003209	CJI97_003284
B9J08_003407	CJI97_003482
B9J08_003328	CJI97_003403
B9J08_002948	CJI97_003021
B9J08_000369	CJI97_000369
B9J08_004096	CJI97_004164
B9J08_003086	CJI97_003159
B9J08_000613	CJI97_000615
B9J08_000899	CJI97_000917
B9J08_001633	CJI97_001677
B9J08_004359	CJI97_004422
B9J08_003106	CJI97_003179
B9J08_001289	CJI97_001317
B9J08_001782	CJI97_002443
B9J08_002007	CJI97_002198
B9J08_001111	CJI97_001495
B9J08_001234	CJI97_001372
B9J08_002772	CJI97_002827
B9J08_001935	CJI97_002596
B9J08_002794	CJI97_002849
B9J08_001616	CJI97_001694
B9J08_001955	CJI97_002140
B9J08_004866	CJI97_004586
B9J08_005015	CJI97_005098
B9J08_004549	CJI97_004903
B9J08_002144	CJI97_001637
B9J08_000099	CJI97_000104
B9J08_002798	CJI97_002853
B9J08_004240	CJI97_004305
B9J08_000169	CJI97_000171
B9J08_000067	CJI97_000073
B9J08_001940	CJI97_002601
B9J08_001944	CJI97_002605
B9J08_000389	CJI97_000389
B9J08_005522	CJI97_005603
B9J08_004851	CJI97_004601
B9J08_000984	CJI97_001003
B9J08_000336	CJI97_000336
B9J08_005139	CJI97_005223
B9J08_000831	CJI97_000849
B9J08_003399	CJI97_003474
B9J08_002289	CJI97_001832
B9J08_003676	CJI97_003751
B9J08_000581	CJI97_000583
B9J08_004655	CJI97_004797
B9J08_003945	CJI97_004077
B9J08_004368	CJI97_004431
B9J08_000034	CJI97_000041
B9J08_002768	CJI97_002823
B9J08_002294	CJI97_001837
B9J08_001428	CJI97_001176
B9J08_000647	CJI97_000649
B9J08_002686	CJI97_002738
B9J08_000960	CJI97_000979
B9J08_001473	CJI97_001131
B9J08_004607	CJI97_004845
B9J08_004221	CJI97_004286
B9J08_003606	CJI97_003679
B9J08_002829	CJI97_002884
B9J08_002095	CJI97_002286
B9J08_001174	CJI97_001432
B9J08_000746	CJI97_000747
B9J08_002955	CJI97_003028
B9J08_003029	CJI97_003100
B9J08_001980	CJI97_002165
B9J08_000685	CJI97_000686
B9J08_004285	CJI97_004347
B9J08_004197	CJI97_004261
B9J08_003210	CJI97_003285
B9J08_000527	CJI97_000529
B9J08_004818	CJI97_004634
B9J08_004822	CJI97_004630
B9J08_003896	CJI97_004125
B9J08_000373	CJI97_000373
B9J08_001748	CJI97_002409
B9J08_001590	CJI97_001720
B9J08_004016	CJI97_004007
B9J08_002358	CJI97_001903
B9J08_000313	CJI97_000313
B9J08_004158	CJI97_004222
B9J08_005236	CJI97_005318
B9J08_002048	CJI97_002239
B9J08_003462	CJI97_003536
B9J08_004953	CJI97_005037
B9J08_004795	CJI97_004657
B9J08_003840	CJI97_003913
B9J08_002904	CJI97_002978
B9J08_000725	CJI97_000726
B9J08_002554	CJI97_002099
B9J08_005569	CJI97_005619
B9J08_002515	CJI97_002060
B9J08_003308	CJI97_003383
B9J08_004138	CJI97_004201
B9J08_000363	CJI97_000363
B9J08_000518	CJI97_000520
B9J08_002454	CJI97_001998
B9J08_004780	CJI97_004672
B9J08_002329	CJI97_001872
B9J08_000266	CJI97_000267
B9J08_000939	CJI97_000957
B9J08_000568	CJI97_000571
B9J08_000661	CJI97_000662
B9J08_004425	CJI97_004488
B9J08_001958	CJI97_002143
B9J08_002868	CJI97_002925
B9J08_004540	CJI97_004912
B9J08_002899	CJI97_002973
B9J08_001143	CJI97_001463
B9J08_003165	CJI97_003237
B9J08_001079	CJI97_001527
B9J08_001774	CJI97_002435
B9J08_001903	CJI97_002564
B9J08_002287	CJI97_001830
B9J08_003050	CJI97_003122
B9J08_000204	CJI97_000207
B9J08_003335	CJI97_003410
B9J08_001586	CJI97_001724
B9J08_001014	CJI97_001034
B9J08_000779	CJI97_000780
B9J08_003723	CJI97_003797
B9J08_002498	CJI97_002042
B9J08_001183	CJI97_001423
B9J08_001840	CJI97_002501
B9J08_005007	CJI97_005090
B9J08_004855	CJI97_004597
B9J08_002180	CJI97_001602
B9J08_004401	CJI97_004464
B9J08_001813	CJI97_002474
B9J08_001267	CJI97_001339
B9J08_004864	CJI97_004588
B9J08_000976	CJI97_000995
B9J08_000303	CJI97_000303
B9J08_003484	CJI97_003558
B9J08_004030	CJI97_003994
B9J08_000949	CJI97_000968
B9J08_000856	CJI97_000874
B9J08_002330	CJI97_001873
B9J08_001221	CJI97_001385
B9J08_001461	CJI97_001143
B9J08_004292	CJI97_004354
B9J08_003380	CJI97_003455
B9J08_005064	CJI97_005148
B9J08_003316	CJI97_003391
B9J08_001598	CJI97_001712
B9J08_000569	CJI97_000572
B9J08_003178	CJI97_003250
B9J08_003874	CJI97_003946
B9J08_000008	CJI97_000015
B9J08_004235	CJI97_004300
B9J08_000789	CJI97_000790
B9J08_005157	CJI97_005241
B9J08_001736	CJI97_002397
B9J08_002380	CJI97_001925
B9J08_001902	CJI97_002563
B9J08_002497	CJI97_002041
B9J08_001447	CJI97_001157
B9J08_005432	CJI97_005515
B9J08_004429	CJI97_004493
B9J08_001325	CJI97_001279
B9J08_002612	CJI97_002666
B9J08_003950	CJI97_004072
B9J08_002002	CJI97_002193
B9J08_004730	CJI97_004721
B9J08_002530	CJI97_002075
B9J08_001689	CJI97_002351
B9J08_001587	CJI97_001723
B9J08_000277	CJI97_000278
B9J08_000920	CJI97_000938
B9J08_004081	CJI97_004149
B9J08_003562	CJI97_003635
B9J08_002296	CJI97_001839
B9J08_004449	CJI97_004513
B9J08_002780	CJI97_002835
B9J08_002414	CJI97_001958
B9J08_004427	CJI97_004491
B9J08_004665	CJI97_004787
B9J08_004909	CJI97_004993
B9J08_000944	CJI97_000963
B9J08_000130	CJI97_000135
B9J08_004093	CJI97_004161
B9J08_004365	CJI97_004428
B9J08_000063	CJI97_000069
B9J08_003250	CJI97_003325
B9J08_001396	CJI97_001208
B9J08_005213	CJI97_005295
B9J08_001047	CJI97_001067
B9J08_003369	CJI97_002264
B9J08_002073	CJI97_002264
B9J08_001258	CJI97_001348
B9J08_003531	CJI97_003604
B9J08_001146	CJI97_001460
B9J08_002770	CJI97_002825
B9J08_004592	CJI97_004860
B9J08_004499	CJI97_004953
B9J08_000852	CJI97_000870
B9J08_004947	CJI97_005031
B9J08_005171	CJI97_005255
B9J08_001319	CJI97_001285
B9J08_003663	CJI97_003738
B9J08_003618	CJI97_003691
B9J08_002721	CJI97_002774
B9J08_001801	CJI97_002462
B9J08_002499	CJI97_002043
B9J08_000651	CJI97_000653
B9J08_000720	CJI97_000721
B9J08_004798	CJI97_004654
B9J08_003312	CJI97_003387
B9J08_000226	CJI97_000227
B9J08_002633	CJI97_002686
B9J08_000850	CJI97_000868
B9J08_001849	CJI97_002510
B9J08_005162	CJI97_005246
B9J08_001066	CJI97_001540
B9J08_005317	CJI97_005401
B9J08_001568	CJI97_001742
B9J08_000036	CJI97_000043
B9J08_001709	CJI97_002371
B9J08_000872	CJI97_000890
B9J08_005423	CJI97_005506
B9J08_004257	CJI97_004320
B9J08_000463	CJI97_000463
B9J08_001186	CJI97_001420
B9J08_004075	CJI97_004143
B9J08_003535	CJI97_003608
B9J08_000925	CJI97_000943
B9J08_005518	CJI97_005600
B9J08_002118	CJI97_002309
B9J08_005399	CJI97_005482
B9J08_004167	CJI97_004231
B9J08_002714	CJI97_002767
B9J08_000571	CJI97_000574
B9J08_004325	CJI97_004388
B9J08_000628	CJI97_000630
B9J08_001741	CJI97_002402
B9J08_002083	CJI97_002274
B9J08_002292	CJI97_001835
B9J08_004950	CJI97_005034
B9J08_000587	CJI97_000589
B9J08_000059	CJI97_000065
B9J08_003811	CJI97_003883
B9J08_000173	CJI97_000175
B9J08_002680	CJI97_002733
B9J08_003400	CJI97_003475
B9J08_002123	CJI97_002314
B9J08_000941	CJI97_000959
B9J08_000654	CJI97_000656
B9J08_005348	CJI97_005431
B9J08_005221	CJI97_005303
B9J08_004116	CJI97_004179
B9J08_004177	CJI97_004241
B9J08_000901	CJI97_000919
B9J08_005043	CJI97_005127
B9J08_000245	CJI97_000246
B9J08_005471	CJI97_005554
B9J08_002024	CJI97_002215
B9J08_003003	CJI97_003074
B9J08_002775	CJI97_002830
B9J08_003474	CJI97_003548
B9J08_005207	CJI97_005290
B9J08_002850	CJI97_002906
B9J08_001881	CJI97_002542
B9J08_002749	CJI97_002803
B9J08_002575	CJI97_002119
B9J08_004406	CJI97_004469
B9J08_005490	CJI97_005573
B9J08_004229	CJI97_004294
B9J08_000012	CJI97_000019
B9J08_001360	CJI97_001244
B9J08_004893	CJI97_004559
B9J08_003182	CJI97_003254
B9J08_004512	CJI97_004940
B9J08_000546	CJI97_000548
B9J08_004764	CJI97_004688
B9J08_000560	CJI97_000563
B9J08_003113	CJI97_003185
B9J08_002000	CJI97_002191
B9J08_003151	CJI97_003223
B9J08_004473	CJI97_004978
B9J08_002713	CJI97_002766
B9J08_000711	CJI97_000712
B9J08_003625	CJI97_003698
B9J08_002786	CJI97_002841
B9J08_001715	CJI97_002376
B9J08_002093	CJI97_002284
B9J08_000618	CJI97_000620
B9J08_000431	CJI97_000431
B9J08_001033	CJI97_001053
B9J08_001744	CJI97_002405
B9J08_000144	CJI97_000149
B9J08_000531	CJI97_000533
B9J08_001608	CJI97_001702
B9J08_000280	CJI97_000281
B9J08_001561	CJI97_001749
B9J08_003878	CJI97_003950
B9J08_004581	CJI97_004871
B9J08_000981	CJI97_001000
B9J08_004760	CJI97_004692
B9J08_001199	CJI97_001407
B9J08_003208	CJI97_003283
B9J08_002179	CJI97_001603
B9J08_002486	CJI97_002029
B9J08_002087	CJI97_002278
B9J08_002564	CJI97_002109
B9J08_004350	CJI97_004413
B9J08_004934	CJI97_005018
B9J08_000049	CJI97_000055
B9J08_003893	CJI97_004128
B9J08_005572	CJI97_005622
B9J08_004615	CJI97_004837
B9J08_004249	CJI97_002137
B9J08_000970	CJI97_000989
B9J08_004028	CJI97_003996
B9J08_001579	CJI97_001731
B9J08_000239	CJI97_000240
B9J08_000769	CJI97_000770
B9J08_003847	CJI97_003920
B9J08_005499	CJI97_005581
B9J08_003405	CJI97_003480
B9J08_003171	CJI97_003243
B9J08_001380	CJI97_001224
B9J08_002122	CJI97_002313
B9J08_000071	CJI97_000077
B9J08_003699	CJI97_003774
B9J08_004487	CJI97_004965
B9J08_000934	CJI97_000952
B9J08_002584	CJI97_002128
B9J08_002408	CJI97_001952
B9J08_003686	CJI97_003761
B9J08_003604	CJI97_003677
B9J08_003082	CJI97_003154
B9J08_003216	CJI97_003291
B9J08_003261	CJI97_003336
B9J08_004979	CJI97_005062
B9J08_003263	CJI97_003338
B9J08_004590	CJI97_004862
B9J08_002284	CJI97_001827
B9J08_005066	CJI97_005151
B9J08_002447	CJI97_001991
B9J08_003454	CJI97_003528
B9J08_002192	CJI97_001590
B9J08_000563	CJI97_000566
B9J08_003865	CJI97_003937
B9J08_002012	CJI97_002203
B9J08_002491	CJI97_002035
B9J08_003722	CJI97_003796
B9J08_001477	CJI97_001127
B9J08_004384	CJI97_004447
B9J08_003426	CJI97_003501
B9J08_003292	CJI97_003367
B9J08_001822	CJI97_002483
B9J08_003284	CJI97_003359
B9J08_003872	CJI97_003944
B9J08_002976	CJI97_003047
B9J08_000815	CJI97_000833
B9J08_000997	CJI97_001016
B9J08_002299	CJI97_001842
B9J08_000750	CJI97_000751
B9J08_001041	CJI97_001061
B9J08_001091	CJI97_001515
B9J08_001710	CJI97_002372
B9J08_000279	CJI97_000280
B9J08_004919	CJI97_005003
B9J08_005476	CJI97_005559
B9J08_001539	CJI97_001770
B9J08_003861	CJI97_003934
B9J08_000667	CJI97_000668
B9J08_001773	CJI97_002434
B9J08_001015	CJI97_001035
B9J08_002634	CJI97_002687
B9J08_001515	CJI97_001089
B9J08_001785	CJI97_002446
B9J08_002407	CJI97_001951
B9J08_000921	CJI97_000939
B9J08_003373	CJI97_003448
B9J08_002882	CJI97_002938
B9J08_000752	CJI97_000753
B9J08_003243	CJI97_003318
B9J08_000826	CJI97_000844
B9J08_004039	CJI97_003985
B9J08_003643	CJI97_003718
B9J08_002036	CJI97_002227
B9J08_004508	CJI97_004944
B9J08_000230	CJI97_000231
B9J08_000247	CJI97_000248
B9J08_002067	CJI97_002258
B9J08_000793	CJI97_000794
B9J08_004546	CJI97_004906
B9J08_004140	CJI97_004203
B9J08_000078	CJI97_000083
B9J08_005456	CJI97_005539
B9J08_001069	CJI97_001537
B9J08_001070	CJI97_001536
B9J08_001345	CJI97_001259
B9J08_002363	CJI97_001908
B9J08_005238	CJI97_005320
B9J08_002665	CJI97_002718
B9J08_004452	CJI97_004516
B9J08_004556	CJI97_004896
B9J08_002457	CJI97_002001
B9J08_004550	CJI97_004902
B9J08_005004	CJI97_005087
B9J08_005324	CJI97_005407
B9J08_002281	CJI97_001824
B9J08_004129	CJI97_004192
B9J08_004099	CJI97_005648
B9J08_002322	CJI97_005627
B9J08_002322	CJI97_001865
B9J08_000871	CJI97_000889
B9J08_001967	CJI97_002152
B9J08_000964	CJI97_000983
B9J08_000469	CJI97_000469
B9J08_000512	CJI97_000513
B9J08_002382	CJI97_001927
B9J08_004195	CJI97_004259
B9J08_000842	CJI97_000860
B9J08_000843	CJI97_000861
B9J08_004668	CJI97_004784
B9J08_001008	CJI97_001028
B9J08_002879	CJI97_002935
B9J08_004205	CJI97_004269
B9J08_001457	CJI97_001147
B9J08_005500	CJI97_005582
B9J08_000321	CJI97_000321
B9J08_005148	CJI97_005232
B9J08_003697	CJI97_003772
B9J08_000121	CJI97_000126
B9J08_002844	CJI97_002900
B9J08_005440	CJI97_005523
B9J08_002069	CJI97_002260
B9J08_003838	CJI97_003911
B9J08_000566	CJI97_000569
B9J08_005427	CJI97_005510
B9J08_004371	CJI97_004434
B9J08_000682	CJI97_000683
B9J08_000540	CJI97_000542
B9J08_002546	CJI97_002091
B9J08_005092	CJI97_005177
B9J08_002610	CJI97_002664
B9J08_000885	CJI97_000903
B9J08_004282	CJI97_004345
B9J08_003013	CJI97_003084
B9J08_002327	CJI97_001870
B9J08_001922	CJI97_002583
B9J08_001153	CJI97_001453
B9J08_004185	CJI97_004249
B9J08_001936	CJI97_002597
B9J08_002576	CJI97_002120
B9J08_002925	CJI97_002998
B9J08_003518	CJI97_003591
B9J08_004059	CJI97_003965
B9J08_003815	CJI97_003888
B9J08_003049	CJI97_003121
B9J08_001592	CJI97_001718
B9J08_002195	CJI97_001587
B9J08_002207	CJI97_001575
B9J08_002892	CJI97_002948
B9J08_004374	CJI97_004437
B9J08_001022	CJI97_001042
B9J08_002060	CJI97_002251
B9J08_004560	CJI97_004892
B9J08_004278	CJI97_004341
B9J08_002230	CJI97_001553
B9J08_003253	CJI97_003328
B9J08_003592	CJI97_003665
B9J08_000464	CJI97_000464
B9J08_002459	CJI97_002003
B9J08_000650	CJI97_000652
B9J08_004485	CJI97_004967
B9J08_003258	CJI97_003333
B9J08_001109	CJI97_001497
B9J08_000024	CJI97_000031
B9J08_004121	CJI97_004184
B9J08_003123	CJI97_003195
B9J08_004970	CJI97_005053
B9J08_004269	CJI97_004332
B9J08_004516	CJI97_004936
B9J08_003344	CJI97_003419
B9J08_004964	CJI97_005047
B9J08_001551	CJI97_001759
B9J08_003843	CJI97_003916
B9J08_000908	CJI97_000926
B9J08_005239	CJI97_005321
B9J08_002160	CJI97_001621
B9J08_002957	CJI97_003030
B9J08_001659	CJI97_001651
B9J08_001083	CJI97_001523
B9J08_000093	CJI97_000098
B9J08_003568	CJI97_003641
B9J08_004360	CJI97_004423
B9J08_002253	CJI97_001796
B9J08_001006	CJI97_001026
B9J08_002824	CJI97_002880
B9J08_003241	CJI97_003316
B9J08_001536	CJI97_001773
B9J08_002041	CJI97_002232
B9J08_003102	CJI97_003175
B9J08_002127	CJI97_002318
B9J08_001667	CJI97_002329
B9J08_004898	CJI97_004982
B9J08_002660	CJI97_002713
B9J08_005505	CJI97_005587
B9J08_001823	CJI97_002484
B9J08_004231	CJI97_004296
B9J08_003886	CJI97_003958
B9J08_000192	CJI97_000194
B9J08_000193	CJI97_000195
B9J08_001705	CJI97_002367
B9J08_003884	CJI97_003956
B9J08_002834	CJI97_002889
B9J08_000259	CJI97_000260
B9J08_005211	CJI97_005293
B9J08_001636	CJI97_001674
B9J08_005486	CJI97_005569
B9J08_001302	CJI97_005713
B9J08_005250	CJI97_005332
B9J08_000775	CJI97_000776
B9J08_002820	CJI97_002876
B9J08_001594	CJI97_001716
B9J08_000869	CJI97_000887
B9J08_002998	CJI97_003069
B9J08_002217	CJI97_001565
B9J08_002915	CJI97_002989
B9J08_004632	CJI97_004820
B9J08_002001	CJI97_002192
B9J08_001754	CJI97_002415
B9J08_002626	CJI97_002679
B9J08_003386	CJI97_003461
B9J08_002833	CJI97_002888
B9J08_001044	CJI97_001064
B9J08_003917	CJI97_004104
B9J08_002035	CJI97_002226
B9J08_004673	CJI97_004779
B9J08_001074	CJI97_001532
B9J08_003383	CJI97_003458
B9J08_003306	CJI97_003381
B9J08_002495	CJI97_002039
B9J08_002923	CJI97_002997
B9J08_003099	CJI97_003172
B9J08_003532	CJI97_003605
B9J08_002838	CJI97_002894
B9J08_000201	CJI97_000204
B9J08_000095	CJI97_000100
B9J08_002581	CJI97_002125
B9J08_005161	CJI97_005245
B9J08_001191	CJI97_001415
B9J08_001591	CJI97_001719
B9J08_001037	CJI97_001057
B9J08_004528	CJI97_004924
B9J08_004555	CJI97_004897
B9J08_003908	CJI97_004113
B9J08_002191	CJI97_001591
B9J08_004817	CJI97_004635
B9J08_001901	CJI97_002562
B9J08_004318	CJI97_004380
B9J08_004214	CJI97_004279
B9J08_002852	CJI97_002908
B9J08_001975	CJI97_002160
B9J08_001745	CJI97_002406
B9J08_000037	CJI97_000044
B9J08_005587	CJI97_000329
B9J08_001746	CJI97_002407
B9J08_003835	CJI97_003908
B9J08_001185	CJI97_001421
B9J08_000214	CJI97_000217
B9J08_002620	CJI97_002674
B9J08_002574	CJI97_002118
B9J08_004998	CJI97_005081
B9J08_003964	CJI97_004058
B9J08_002692	CJI97_002744
B9J08_001379	CJI97_001225
B9J08_000142	CJI97_000147
B9J08_004448	CJI97_004512
B9J08_004579	CJI97_003683
B9J08_003610	CJI97_003683
B9J08_001987	CJI97_002178
B9J08_000362	CJI97_000362
B9J08_004604	CJI97_004848
B9J08_005381	CJI97_005464
B9J08_004887	CJI97_004565
B9J08_003889	CJI97_003961
B9J08_001576	CJI97_001734
B9J08_001405	CJI97_001199
B9J08_001573	CJI97_001737
B9J08_000331	CJI97_000331
B9J08_000428	CJI97_000428
B9J08_000690	CJI97_000691
B9J08_005417	CJI97_005500
B9J08_002853	CJI97_002909
B9J08_001045	CJI97_001065
B9J08_005265	CJI97_005348
B9J08_001348	CJI97_001256
B9J08_005303	CJI97_005387
B9J08_001218	CJI97_001388
B9J08_005375	CJI97_005458
B9J08_000853	CJI97_000871
B9J08_005398	CJI97_005481
B9J08_002314	CJI97_001857
B9J08_001726	CJI97_002387
B9J08_004054	CJI97_003970
B9J08_004146	CJI97_004209
B9J08_004074	CJI97_004142
B9J08_001434	CJI97_001169
B9J08_001172	CJI97_001434
B9J08_004343	CJI97_004406
B9J08_004646	CJI97_004806
B9J08_005176	CJI97_005260
B9J08_004324	CJI97_004387
B9J08_005479	CJI97_005562
B9J08_001882	CJI97_002543
B9J08_002483	CJI97_002026
B9J08_003888	CJI97_003960
B9J08_001821	CJI97_002482
B9J08_003834	CJI97_003907
B9J08_002788	CJI97_002843
B9J08_003065	CJI97_003137
B9J08_004836	CJI97_004616
B9J08_002324	CJI97_001867
B9J08_002270	CJI97_001813
B9J08_004810	CJI97_004642
B9J08_000729	CJI97_000730
B9J08_005311	CJI97_005395
B9J08_002231	CJI97_001552
B9J08_004743	CJI97_004709
B9J08_000261	CJI97_000262
B9J08_001262	CJI97_001344
B9J08_004391	CJI97_004454
B9J08_003063	CJI97_003135
B9J08_002111	CJI97_002302
B9J08_005299	CJI97_005383
B9J08_001302	CJI97_001303
B9J08_003002	CJI97_003073
B9J08_001623	CJI97_001687
B9J08_005045	CJI97_005129
B9J08_000792	CJI97_000793
B9J08_004387	CJI97_004450
B9J08_004600	CJI97_004852
B9J08_004684	CJI97_004768
B9J08_005541	CJI97_004768
B9J08_005562	CJI97_004553
B9J08_003920	CJI97_004101
B9J08_000158	CJI97_000161
B9J08_001619	CJI97_001691
B9J08_003713	CJI97_003787
B9J08_004707	CJI97_004744
B9J08_001755	CJI97_002416
B9J08_000864	CJI97_000882
B9J08_005415	CJI97_005498
B9J08_002143	CJI97_001638
B9J08_002153	CJI97_001628
B9J08_000615	CJI97_000617
B9J08_004669	CJI97_004783
B9J08_001728	CJI97_002389
B9J08_004482	CJI97_004969
B9J08_004064	CJI97_004132
B9J08_000993	CJI97_001012
B9J08_000937	CJI97_000955
B9J08_000403	CJI97_000403
B9J08_002469	CJI97_002013
B9J08_004547	CJI97_004905
B9J08_001931	CJI97_002592
B9J08_001713	CJI97_002375
B9J08_003725	CJI97_003799
B9J08_003490	CJI97_003564
B9J08_003458	CJI97_003532
B9J08_000176	CJI97_000178
B9J08_004304	CJI97_004366
B9J08_004331	CJI97_004394
B9J08_002808	CJI97_002863
B9J08_002987	CJI97_003058
B9J08_001177	CJI97_001429
B9J08_001787	CJI97_002448
B9J08_005013	CJI97_005096
B9J08_004276	CJI97_004339
B9J08_000256	CJI97_000257
B9J08_001265	CJI97_001341
B9J08_000355	CJI97_000355
B9J08_000913	CJI97_000931
B9J08_000522	CJI97_000524
B9J08_004135	CJI97_004198
B9J08_003657	CJI97_003732
B9J08_001303	CJI97_005711
B9J08_004420	CJI97_004483
B9J08_002140	CJI97_001641
B9J08_005350	CJI97_005433
B9J08_003491	CJI97_003565
B9J08_002201	CJI97_001581
B9J08_004826	CJI97_004626
B9J08_002319	CJI97_001862
B9J08_003330	CJI97_003405
B9J08_000246	CJI97_000247
B9J08_000839	CJI97_000857
B9J08_000044	CJI97_000050
B9J08_002317	CJI97_001860
B9J08_002310	CJI97_001853
B9J08_004421	CJI97_004484
B9J08_000626	CJI97_000628
B9J08_002406	CJI97_001950
B9J08_000692	CJI97_000693
B9J08_000712	CJI97_000713
B9J08_004837	CJI97_004615
B9J08_004569	CJI97_004883
B9J08_003084	CJI97_003156
B9J08_003510	CJI97_003584
B9J08_005545	CJI97_004535
B9J08_001082	CJI97_001524
B9J08_000046	CJI97_000052
B9J08_005387	CJI97_005470
B9J08_005338	CJI97_005421
B9J08_005073	CJI97_005158
B9J08_001410	CJI97_001194
B9J08_002782	CJI97_002837
B9J08_000122	CJI97_000127
B9J08_005184	CJI97_005268
B9J08_000267	CJI97_000268
B9J08_001835	CJI97_002496
B9J08_004295	CJI97_004358
B9J08_003060	CJI97_003132
B9J08_004186	CJI97_004250
B9J08_003791	CJI97_003863
B9J08_001064	CJI97_001542
B9J08_002379	CJI97_001924
B9J08_002630	CJI97_002683
B9J08_001918	CJI97_002579
B9J08_000526	CJI97_000528
B9J08_000385	CJI97_000385
B9J08_002206	CJI97_001576
B9J08_003252	CJI97_003327
B9J08_000199	CJI97_000202
B9J08_001301	CJI97_001304
B9J08_001627	CJI97_001683
B9J08_002777	CJI97_002832
B9J08_001784	CJI97_002445
B9J08_004559	CJI97_004893
B9J08_000244	CJI97_000245
B9J08_002052	CJI97_002243
B9J08_001332	CJI97_001272
B9J08_002952	CJI97_003025
B9J08_000675	CJI97_000676
B9J08_000547	CJI97_000549
B9J08_005124	CJI97_005208
B9J08_000914	CJI97_000932
B9J08_001909	CJI97_002570
B9J08_000289	CJI97_000290
B9J08_001680	CJI97_002342
B9J08_003622	CJI97_003695
B9J08_004110	CJI97_004173
B9J08_003683	CJI97_003758
B9J08_000334	CJI97_000334
B9J08_003475	CJI97_003549
B9J08_004945	CJI97_005029
B9J08_001965	CJI97_002150
B9J08_005341	CJI97_005424
B9J08_003851	CJI97_003924
B9J08_001425	CJI97_001179
B9J08_001492	CJI97_001112
B9J08_004484	CJI97_004968
B9J08_004194	CJI97_004258
B9J08_001516	CJI97_001088
B9J08_005325	CJI97_005408
B9J08_004624	CJI97_004828
B9J08_003190	CJI97_003261
B9J08_002351	CJI97_001895
B9J08_000069	CJI97_000075
B9J08_000232	CJI97_000233
B9J08_001261	CJI97_001345
B9J08_000032	CJI97_000039
B9J08_000229	CJI97_000230
B9J08_001409	CJI97_001195
B9J08_002448	CJI97_001992
B9J08_005197	CJI97_005281
B9J08_001496	CJI97_001108
B9J08_002184	CJI97_001598
B9J08_003985	CJI97_004038
