1 2 A0C1 A0C1reseq A0C2 A0C2reseq e4 e5 e6 3 3reseq 4 5a 6 7 8 9 10 11 12 13 14 15 16 59 e7 e8 e9 17 18 A24C1 A24C1reseq A24C2 A24C2reseq e1 e2 e3
MSTRG.1529.1|313|x|C1_06660W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 6 1 2 0 15
MSTRG.1531.1|413|x|C1_06670W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 2 2 1 0 0 2 0 3 0 0 0 0 0 1 1 4 2 0 1 3 17 0 1 0 0 0 8 10 0 0 1 6 0
C1_06670W_A|2322 35 169 758 2460 843 2048 3508 732 654 1444 1916 1336 623 600 731 768 1693 1364 227 645 381 775 397 579 1295 121 86 110 317 156 697 788 1052 490 279 2069 2016
C1_06680W_A|3063 5 40 235 905 327 698 2070 418 390 1030 1453 781 338 539 540 606 1149 1161 355 582 436 817 395 467 1846 130 116 96 363 203 813 897 986 442 185 1329 1216
MSTRG.1535.1|511|x|C1_06690W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 2 0 3 0 0 1 0 0 1 0 5 8 0 0 0 1 0
C1_06690W_A|926 10 109 385 1332 591 1329 1427 288 300 801 1123 710 284 301 395 471 637 702 241 442 281 532 278 443 893 75 76 81 209 98 552 551 798 364 215 1409 1111
MSTRG.1537.1|751|x|C1_06700W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 4 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0
C1_06700W_A|1584 27 144 705 2366 824 1829 2174 514 532 1228 1764 1131 463 504 692 724 1154 1204 343 777 476 762 439 549 1276 122 116 94 356 168 890 933 1031 496 243 1916 1447
MSTRG.1540.1|330|x|C1_06700W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 3 0 0 0 1 1 0 1 1 3 0 0 1 1 3 1 1 1 10 0 2 7 1 0 1 3 0 4 3 5 3 4 3 0
C1_06710W_A|1032 24 110 444 1394 389 946 3942 788 894 1534 1997 1187 530 705 622 614 1573 1494 397 702 619 1630 594 770 2732 254 193 244 365 171 644 623 682 316 709 3548 2726
C1_06720C_A|1203 11 54 331 883 357 786 2738 612 659 934 1262 931 501 574 424 509 1477 1269 163 353 334 403 147 190 764 158 112 147 97 64 250 280 420 190 367 1822 1682
MSTRG.1543.1|435|x|C1_06720C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 3 2 0 0 1 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
MSTRG.1546.1|315|x|C1_06730W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 12 6 12 2 1 0 2 0 0 0 1 0 0 2 2 1 1 0 0 0 0 0 0 1 0 0 0 0 0 2 0 2 12 3
C1_06730W_A|711 146 820 4672 15544 5168 11575 7991 1571 1365 6372 8728 4682 2324 3224 1512 1810 5283 4869 1817 2705 2465 6716 2091 2785 14958 1077 684 865 1215 666 3131 3308 4704 2262 2406 10444 12510
MSTRG.1548.1|629|x|C1_06730W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 18 27 23 61 50 6 3 11 23 16 8 17 4 12 22 23 2 9 7 19 6 4 15 2 3 0 3 2 26 28 34 6 7 28 112
MSTRG.1549.1|763|x|C1_06740C_A-T|Ca22chr1A_C_albicans_SC5314|calb 8 45 370 1172 450 987 330 78 75 446 575 233 149 145 126 109 271 293 106 120 106 390 132 150 1097 28 31 35 77 41 455 483 492 219 65 289 714
C1_06740C_A|630 7 35 324 1085 509 1151 4001 811 795 868 1153 1308 584 701 465 549 1088 1066 188 359 414 978 351 607 2764 302 250 275 218 116 843 873 1378 596 929 5379 9146
C1_06750W_A|387 2 12 82 304 108 211 1326 286 324 393 501 318 124 280 359 337 774 913 307 380 405 1010 496 588 1698 80 60 109 313 104 909 949 1080 540 301 1765 2221
C1_06760C_A|1607 34 138 558 2021 707 1568 7005 1321 1138 3339 4656 3607 1228 1490 665 893 2608 2560 351 720 730 1387 495 820 2007 474 358 496 308 201 702 710 1006 463 1048 6203 4625
C1_06770W_A|1524 32 204 1068 3559 1220 2975 6537 1420 1311 2668 3776 2575 810 1159 835 987 2471 2020 544 1010 800 1757 676 1071 3589 443 330 503 443 246 1055 1183 1853 854 1106 6169 7552
MSTRG.1554.1|757|x|C1_06770W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 1 14 1 2 16 4 11 2 1 2 2 6 3 6 11 14 4 11 12 11 19 22 48 2 1 7 5 5 29 27 41 14 8 40 9
MSTRG.1555.1|371|x|C1_06780W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
C1_06780W_A|2502 19 147 557 1766 792 1867 3356 754 679 2171 3032 1663 675 1043 973 1183 2512 1951 426 883 552 2829 1418 2307 5100 264 234 271 694 405 1367 1440 2352 1051 573 4805 3641
MSTRG.1557.1|296|x|C1_06780W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 3 3 1 7 3 0 0 4 3 6 3 2 1 0 4 1 1 0 1 3 0 1 2 0 2 0 1 0 5 1 5 0 0 0 24
MSTRG.1558.1|236|x|C1_06790C_A-T|Ca22chr1A_C_albicans_SC5314|calb 1 1 5 5 1 0 2 1 2 0 2 1 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 2 4 5 3 2 2 18
C1_06790C_A|432 32 217 1218 4131 1669 3659 7143 1518 1357 3948 5519 3893 1967 1189 1093 1115 5021 7157 997 1087 1163 3459 1307 1641 7554 302 267 432 859 381 2595 2653 3634 1768 1282 6060 8243
MSTRG.1560.1|208|x|C1_06790C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
C1_06800W_A|1176 13 103 403 1497 395 955 2631 467 428 1542 2201 1545 798 762 493 558 1431 1091 180 362 353 718 347 450 1122 229 196 102 229 119 484 511 585 274 297 1361 1370
MSTRG.1563.1|600|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 13 0 0 0 0 0 0 0 0 2 0 0 0
C1_06810W_A|1458 39 290 1452 5001 1983 4628 3899 1101 1100 5016 6889 4247 2215 3904 5039 5295 20778 14077 281 378 275 11879 5330 7839 23084 186 132 181 4711 2621 10336 10752 17010 7976 1430 12955 10916
MSTRG.1565.1|930|x|C1_06810W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 1 3 2 0 0 1 0 0 1 0 0 0 1 2 0 2 0 1 0 2 0 0 0 1 0 1 1 4 0 0 0 2 0
C1_06820W_A|993 27 168 1151 3640 1272 3000 7729 1234 902 2369 3189 2374 739 614 595 734 2833 2275 410 616 531 3398 1322 1986 7374 561 414 639 667 354 1961 2081 2782 1206 1091 6170 6618
MSTRG.1567.1|717|x|C1_06820W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 5 12 5 7 26 6 3 21 31 17 10 14 4 5 15 26 13 8 5 37 14 10 19 5 3 2 6 6 9 14 27 3 3 11 20
C1_06830W_A|64 0 0 7 17 0 0 26 3 2 16 28 19 4 9 3 2 10 13 3 2 6 23 10 11 40 0 3 0 11 3 16 39 12 5 0 4 0
C1_06840C_A|294 11 66 219 700 210 491 3510 667 803 1012 1500 950 746 536 237 324 1867 2950 680 694 805 2522 914 748 4392 269 209 196 706 312 1204 1312 1274 581 498 2730 2430
MSTRG.1570.1|1834|x|C1_06840C_A-T|Ca22chr1A_C_albicans_SC5314|calb 4 18 74 272 70 183 729 131 116 316 424 257 172 145 124 160 319 259 67 86 84 203 106 94 255 45 31 12 87 52 170 196 169 83 39 186 210
MSTRG.1571.1|1659|x|C1_06850W_A-T|Ca22chr1A_C_albicans_SC5314|calb 1 8 19 59 12 32 101 18 23 67 104 50 48 45 23 35 106 95 9 13 27 29 14 31 42 3 2 0 17 7 32 25 21 8 8 14 43
C1_06850W_A|2055 26 186 746 2597 1007 2168 3645 852 765 2162 2944 1831 897 1002 1085 1211 2391 2407 369 854 689 1443 669 1131 2983 162 175 179 611 311 1303 1376 1675 793 377 2877 2524
MSTRG.1573.1|1519|x|C1_06850W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 4 0 1 0 1 2 1 1 2 0 2 3 1 0 0 0 2 5 16 0 0 1 2 2 16 14 11 0 0 2 10
C1_06860W_A|1494 0 0 0 2 0 0 7 2 6 2 1 1 0 4 5 2 2 6 1 0 4 27 4 2 23 1 0 0 8 5 10 13 21 4 0 21 13
MSTRG.1576.1|248|x|C1_06870C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_06870C_A|204 0 1 9 33 10 20 307 44 63 12 23 15 9 8 4 6 41 53 5 3 15 20 10 7 70 0 5 2 5 4 9 7 22 13 49 82 189
MSTRG.1579.1|543|x|C1_06880C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_06880C_A|3051 0 6 6 27 19 42 36 7 12 26 40 28 12 6 5 4 11 14 5 1 4 16 10 7 14 0 7 0 6 7 4 4 12 12 5 25 13
MSTRG.1581.1|1087|x|C1_06890C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 4 8 1 3 46 9 5 16 17 57 6 6 2 10 10 4 1 4 1 0 0 2 0 0 1 1 1 0 8 2 1 1 4 12 49
C1_06890C_A|811 805 4786 38878 128033 49309 109980 123908 22493 17804 62486 91524 73125 41189 20914 10303 12283 38063 67578 10481 10955 16253 19644 6946 8384 46933 2741 2315 3775 3496 1792 11090 11869 17821 8185 11873 48780 64589
MSTRG.1583.1|1105|x|C1_06900C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 3 7 3 11 89 10 21 18 14 16 4 1 3 1 15 16 2 3 1 5 1 2 12 0 0 0 4 2 1 7 4 2 0 4 6
C1_06900C_A|638 132 783 5112 16957 6869 15263 37737 7922 6734 17756 25391 16872 7794 7745 6143 6387 27772 34622 4141 5639 5630 3282 1408 1811 7598 880 640 777 1174 734 3436 3609 5980 2719 2909 14599 17449
C1_06910C_A|2697 26 217 1016 3442 1332 2902 6423 1350 1360 2789 3839 2479 805 1026 1105 1222 2567 2359 533 971 710 1678 843 1131 3249 427 338 372 736 360 1654 1722 2324 1076 686 5161 5012
MSTRG.1584.1|282|x|C1_06920C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 1 0 1 0 0 0 0 0 4 0 0 0 0 1 0 0 0 0 0 0 3 0
C1_06920C_A|1356 18 154 589 1998 901 1943 1387 284 181 1221 1599 787 341 702 410 484 1423 1217 634 797 725 1119 418 585 1822 340 264 303 371 235 661 648 1003 490 664 3981 3143
MSTRG.1586.1|230|x|C1_06920C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.1587.1|311|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 1 4 16 10 24 10 1 2 3 2 4 2 0 1 1 3 4 0 0 2 7 1 2 21 0 1 0 0 0 2 2 9 6 0 5 8
MSTRG.1588.1|288|x|C1_06930W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 2 1 0 1 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
C1_06930W_A|3798 412 3144 10009 33585 18322 40343 20290 5106 3448 19433 26331 12203 2821 4048 8319 9644 16662 13659 3981 8809 5264 4042 2363 3246 6242 634 572 728 1790 1133 3033 3321 5216 2495 1968 14334 11842
MSTRG.1590.1|267|x|C1_06930W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 0 0 3 0 1 0 2 3 0 2 0 0 1 2 3 2 0 0 1 0 2 1 1 0 0 2 0 1 3 4 4 0 1 0
MSTRG.1591.1|257|x|C1_06940C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 8 18 7 17 11 0 1 15 15 6 1 3 3 4 8 9 8 5 5 0 1 2 0 0 0 0 0 0 3 4 1 1 0 3 1
C1_06940C_A|3237 6 79 256 816 405 871 3808 988 1041 1807 2460 1251 478 983 934 986 2162 1976 723 1462 1059 2182 1068 1747 3685 460 326 375 930 572 1757 1794 2965 1344 714 6432 4984
MSTRG.1593.1|1198|x|C1_06950C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
C1_06950C_A|111 1 1 5 7 4 12 18 1 4 7 10 5 3 0 2 0 2 15 2 0 1 3 5 2 0 0 0 1 0 1 12 8 15 11 0 4 21
C1_06960W_A|903 151 937 5783 19296 7020 15830 30714 5714 4820 12617 17266 12465 4471 4407 3265 3456 9272 7031 1697 3001 2540 6914 2308 3751 14519 1489 1195 1791 1043 645 2479 2550 4293 1922 4310 21507 23605
MSTRG.1596.1|288|x|C1_06960W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 1 3 3 1 1 2 4 2 0 2 0 1 2 0 2 0 1 0 3 0 0 0 0 0 1 1 0 1 1 1 0 3 0
MSTRG.1597.1|243|x|C1_06970C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 2 8 5 10 3 1 1 12 20 13 4 8 3 2 5 6 1 3 1 8 0 1 0 1 0 1 5 0 3 1 0 1 0 3 20
C1_06970C_A|1656 9 42 207 632 239 554 3555 807 711 1414 1880 969 429 892 554 679 1574 1350 979 1438 1133 2238 1068 1503 4412 465 419 426 684 393 1342 1490 2274 1158 971 7029 6224
MSTRG.1599.1|379|x|C1_06970C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0 0 0 2 0 0 0 6 1 0 1 1 0 0 3 0 9 8 13 4 0 1 0
C1_06980C_A|1434 0 3 14 28 11 19 173 60 61 302 439 247 70 62 77 89 243 159 23 59 29 294 133 179 732 15 23 16 80 43 131 138 252 137 40 327 358
MSTRG.1601.1|1236|x|C1_06990C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 2 10 5 2 50 16 33 20 30 13 10 42 14 33 105 82 88 88 102 259 92 152 631 33 25 25 82 52 219 255 391 166 67 440 503
C1_06990C_A|116 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_07000W_A|2280 20 139 755 2428 965 2214 5270 1332 1278 2733 3799 2153 432 597 653 723 2557 1879 295 602 352 878 473 677 1764 407 291 432 381 175 822 902 1599 798 774 6464 5371
MSTRG.1604.1|290|x|C1_07000W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 1 2 1 0 1 1 4 0 1 0 0 0 0 0 4 0 1 3 0
C1_07010W_A|957 5 37 162 555 270 604 1087 244 152 741 1148 743 221 217 322 344 885 828 219 377 355 536 336 468 1017 98 85 99 217 113 435 465 754 396 179 1524 1769
C1_07020C_A|2937 26 183 661 2245 943 2166 4929 1026 783 2903 3961 2436 713 939 1032 1119 2640 2141 558 1010 751 2170 1023 1581 4110 341 260 288 634 360 1256 1325 1842 829 544 4396 3456
MSTRG.1607.1|1031|x|C1_07020C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 9 0 2 17 1 2 4 5 7 9 1 6 1 3 4 0 0 1 3 0 0 0 0 0 1 0 1 6 7 3 0 3 7 25
C1_07030C_A|1077 36 238 886 2859 1335 3003 5068 1071 766 3527 5001 1321 585 1384 622 592 3774 8063 12278 9492 11993 20483 6313 7592 42943 2435 1995 2495 7372 4853 15055 15906 29114 13308 4226 22111 23097
MSTRG.1609.1|201|x|C1_07030C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
MSTRG.1610.1|341|x|C1_07030C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 3 0 0 0 0
MSTRG.1611.1|1725|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 1 21 3 4 3 5 1 2 1 0 1 0 7 3 3 4 4 4 5 13 0 1 0 3 4 4 3 9 2 0 3 0
MSTRG.1613.1|759|x|C1_07040C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 1 0 1 4 0 3 1 4 3 1 1 0 9 2 3 1 9 9 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0
C1_07040C_A|954 0 2 7 22 9 22 5 0 1 289 369 180 102 178 76 93 271 368 111 124 106 57 17 18 163 35 30 29 11 3 14 16 22 4 37 228 247
MSTRG.1615.1|989|x|C1_07040C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 2 0 0 2 2 0 1 0 0 0 2 0 4 8 1 12 1 0 33 0 0 1 1 0 3 7 7 2 0 4 0
MSTRG.1618.1|724|x|C1_07050C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 5 10 2 0 0 7 0 1 0 0 0 1 1 4 0 0 0 0
C1_07050C_A|2160 13 59 278 881 330 820 2397 458 412 953 1397 760 289 360 461 519 1013 805 245 388 306 515 204 280 634 107 97 80 198 120 505 475 597 297 222 1668 1314
MSTRG.1619.1|1003|x|C1_07060C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 4 2 4 2 0 0 4 4 1 0 2 0 0 1 3 3 0 5 4 0 5 0 0 1 0 3 0 11 3 5 2 0 12 3
C1_07060C_A|519 23 103 457 1515 381 917 3527 610 636 2042 2867 1703 1307 1778 649 728 2587 3030 2798 2364 3387 3289 1395 1183 8059 473 431 169 1096 557 2571 2739 2450 1174 677 2425 3175
MSTRG.1620.1|2013|x|C1_07060C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 2 3 11 2 7 13 5 1 1 11 10 3 6 3 1 6 9 2 6 4 12 3 3 0 2 0 1 3 2 17 15 3 0 1 3 29
C1_07070C_A|1650 14 82 301 994 495 1070 1972 399 312 1276 1796 958 344 381 483 480 1094 1112 103 282 132 455 252 246 729 118 78 109 271 149 535 607 693 330 116 953 949
MSTRG.1621.1|1640|x|C1_07070C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 2 1 16 2 4 6 1 5 4 13 4 4 6 6 10 7 5 9 5 9 9 8 15 16 0 1 0 8 3 32 29 25 12 2 12 34
MSTRG.1622.1|321|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 4 11 36 23 53 12 9 7 9 7 3 4 1 11 4 10 7 0 4 4 3 4 6 50 1 1 1 2 0 37 50 27 10 5 21 75
MSTRG.1624.1|390|x|C1_07080W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 1 0
C1_07080W_A|567 9 40 231 820 235 520 2979 716 1108 669 932 527 469 868 828 937 3297 3356 419 641 550 2755 920 1184 6827 361 241 280 636 343 1663 1807 2310 1093 880 5522 5181
MSTRG.1626.1|271|x|C1_07080W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 1 0 0 2 2 0 0 0
MSTRG.1627.1|245|x|C1_07090C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 3 24 59 21 53 235 59 91 81 107 42 38 88 75 102 355 405 45 66 63 235 102 120 519 25 19 27 75 40 139 133 240 88 70 423 609
C1_07090C_A|2235 27 276 1012 3426 1436 3153 6583 1407 1105 2948 4046 2821 876 1034 1357 1587 2726 2545 441 902 653 1034 563 706 1747 219 147 211 560 306 1165 1179 1641 809 375 3207 2575
MSTRG.1629.1|746|x|C1_07090C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 16 53 198 65 157 120 26 32 95 121 66 64 47 41 39 86 91 13 12 27 26 8 4 66 3 3 2 13 4 38 35 47 16 2 19 73
C1_07100C_A|942 6 21 118 414 103 250 1042 191 139 399 513 319 107 209 202 259 430 402 175 328 261 346 148 129 629 103 90 49 143 80 327 320 267 126 125 523 443
MSTRG.1632.1|347|x|C1_07100C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 4 19 67 25 56 62 8 11 39 29 28 28 16 19 9 37 52 4 4 5 3 5 4 0 1 1 1 3 2 6 6 5 3 1 5 1
C1_07110W_A|3783 12 131 620 2107 991 2207 6699 1551 1373 1959 2676 1804 401 577 1201 1241 1843 1707 897 1748 982 2522 1454 1886 4944 364 247 341 919 491 2192 2480 3470 1724 642 6649 5590
MSTRG.1634.1|3537|x|C1_07110W_A-T|Ca22chr1A_C_albicans_SC5314|calb 2 0 9 29 10 8 659 132 160 66 100 101 89 130 115 80 354 482 89 88 97 144 33 34 243 24 16 29 43 20 119 102 132 78 48 246 356
MSTRG.1636.1|228|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 3 1 1 0 0 0 0 0 0 2 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.1637.1|1537|x|C1_07120W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 1 1 2 12 2 1 2 7 5 2 5 0 5 14 6 0 1 0 0 0 0 6 0 2 0 3 2 7 8 1 2 1 5 0
MSTRG.1638.1|228|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
MSTRG.1639.1|226|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_07120W_A|1824 276 1770 6597 21377 8825 18919 123425 27143 27058 101121 136807 92272 30570 47126 50807 55468 246339 189178 25310 34321 33741 30612 12233 17836 56161 10978 8478 10476 12763 7283 21470 23131 36718 16841 22092 99138 96721
MSTRG.1641.1|290|x|C1_07120W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 1 2 14 8 10 76 18 10 15 13 3 5 6 0 4 24 15 1 1 3 1 0 0 6 0 5 2 3 0 22 34 32 17 14 93 246
C1_07130C_A|1806 10 102 595 2105 812 2032 3453 663 577 1291 1730 1450 506 485 469 599 1187 1185 305 512 421 1292 505 823 2740 351 268 374 449 244 1049 1198 1978 945 700 4983 5354
MSTRG.1643.1|879|x|C1_07140C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 3 0 0 7 1 1 1 2 1 0 0 0 0 2 3 1 0 2 5 6 5 8 0 0 2 5 3 17 13 4 2 3 0 0
C1_07140C_A|3135 21 224 1104 3562 1508 3277 9216 2000 2001 4540 6354 3606 836 1036 1329 1417 3267 2776 773 1373 931 1672 865 1280 3449 634 553 609 633 385 1573 1762 2662 1236 953 8906 7958
MSTRG.1645.1|340|x|C1_07150W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 2 3 12 8 9 10 11 5 3 5 2 5 28 15 36 30 27 166 60 76 217 18 11 5 48 26 64 57 53 51 8 95 28
C1_07150W_A|243 5 8 35 95 40 68 1285 255 226 262 372 386 235 146 65 77 133 265 128 83 205 184 86 56 154 27 24 24 139 58 189 199 132 54 35 151 127
MSTRG.1647.1|1725|x|C1_07170C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 4 10 5 9 15 6 18 5 29 9 25 9 10 10 37 45 41 33 32 533 252 240 591 8 8 4 246 112 269 264 280 138 10 81 193
C1_07160C_A|207 4 27 81 201 97 176 6747 2536 6782 6328 9354 4388 5520 4601 3286 3544 16337 37627 34000 19303 22071 139034 48451 49948 465550 5348 3613 4491 50755 23385 233225 247604 333644 155510 10746 78754 100434
C1_07170C_A|1701 14 122 511 1819 897 1940 1024 288 231 790 1029 665 196 187 327 359 745 653 229 221 148 1680 805 1073 3575 106 79 125 844 455 2048 2153 2961 1417 307 2534 2582
MSTRG.1651.1|2298|x|C1_07170C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 3 13 4 10 3 0 2 4 11 4 0 4 8 6 6 7 5 2 12 42 19 28 116 6 0 2 33 9 75 68 96 47 5 45 65
MSTRG.1652.1|2336|x|C1_07180W_A-T|Ca22chr1A_C_albicans_SC5314|calb 1 3 38 118 53 103 82 18 20 94 119 77 39 63 57 73 79 106 28 13 27 60 44 52 133 3 8 6 54 34 124 146 171 82 10 82 182
C1_07180W_A|747 91 555 3011 10209 3736 8663 14346 3177 3920 8798 11940 6668 3225 6585 6238 6523 14094 10615 1733 2459 2292 4670 1566 2342 10675 597 512 583 1257 617 2869 3255 4797 2206 2794 11475 13501
MSTRG.1654.1|1031|x|C1_07190W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 2 4 6 1 1 58 6 9 4 9 5 5 3 3 1 11 16 13 10 15 53 20 24 54 7 6 3 34 18 47 51 33 14 11 17 4
C1_07190W_A|2466 34 214 924 3158 1392 3198 6689 1553 1306 4048 5397 3120 952 1409 1754 2006 4577 3744 1054 2080 1510 4716 2444 3488 8362 344 259 399 1330 698 2551 2764 3365 1614 792 7278 6083
MSTRG.1657.1|506|x|C1_07190W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_07200W_A|900 40 312 1788 5857 2357 5362 5860 1137 739 4720 6338 4355 1569 1627 922 1038 2856 2564 594 954 812 1410 473 707 2609 180 133 232 266 167 620 673 1118 491 909 4179 4290
MSTRG.1660.1|204|x|C1_07200W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 4 7 10 18 23 3 2 8 7 2 1 2 0 1 2 7 0 0 1 0 0 2 0 0 0 0 0 0 5 0 7 4 3 16 0
C1_07210C_A|1743 19 180 771 2442 989 2390 4110 909 867 2663 3634 1913 628 885 863 945 2372 1550 407 680 527 1188 522 800 2268 254 198 276 411 206 965 1027 1584 706 779 3935 4610
MSTRG.1662.1|492|x|C1_07210C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 7 0 0 8 0 0 0 0 0 0 0 0 0 0 2 0
