orf19.6103	CAWG_01357	CD36_00100	CTRG1_04282	CTRG_04282	---	---	---	---	---	DEHA2A13332g	PICST_28175	CANTEDRAFT_114386	SPAPADRAFT_53067	PGUG_01091	CLUG_03452	B9J08_001269	YER046W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR039W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR042C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR044C
orf19.1560	CAWG_04006	CD36_17210	CTRG1_01387	CTRG_01387	CPAR2_210870	CMET_2492	CORT1A10220	CORT0A10220	LELG_00753	DEHA2D11374g	PICST_65686	CANTEDRAFT_117679	SPAPADRAFT_66363	PGUG_00729	CLUG_00138	B9J08_003645	YML069W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR046W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR050C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR053C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR057W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR059C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR064W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR070W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR071W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR074W-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR076W
orf19.1562	CAWG_04007	CD36_17200	CTRG1_01388	CTRG_01388	CPAR2_210880	CMET_2491	CORT1A10230	CORT0A10230	---	DEHA2D11352g	PICST_31800	---	---	cgui_CGOB_00157	---	---	---
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR077C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR078C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR081C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR087W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR092W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR095C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR096C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR099C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR101W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR102C
orf19.1563	CAWG_04008	CD36_17190	CTRG1_01389	CTRG_01389	CPAR2_210890	CMET_2490	CORT1A10240	CORT0A10240	LELG_00755	DEHA2D11330g	PICST_83377	CANTEDRAFT_117682	SPAPADRAFT_137395	PGUG_00728	CLUG_00139	B9J08_003643	YOR092W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR106W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR108W-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR109W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR111W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR114W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR115W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR116W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR120C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR121W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR123C
orf19.1564	CAWG_04009	CD36_17180	CTRG1_01390	CTRG_01390	CPAR2_210900	CMET_2489	CORT1A10250	CORT0A10250	LELG_00756	DEHA2D11308g	PICST_45587	CANTEDRAFT_96620	SPAPADRAFT_135800	PGUG_00727	CLUG_00140	B9J08_003642	YDL072C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR126C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR130C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR134W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR136C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR142C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR145W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR145C-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR146C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR148C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR150W
orf19.3360	CAWG_01207	CD36_01570	CTRG1_04469	CTRG_04469	---	CMET_5624	---	---	LELG_01438	---	psti_CGOB_00162	CANTEDRAFT_95634	SPAPADRAFT_57714	PGUG_02789	CLUG_03605	B9J08_000653	---
orf19.1565	CAWG_04010	CD36_17170	CTRG1_01391	CTRG_01391	CPAR2_210910	CMET_2488	CORT1A10260	CORT0A10260	LELG_00757	DEHA2D11286g	PICST_83606	CANTEDRAFT_100359	SPAPADRAFT_60480	PGUG_00726	CLUG_00141	B9J08_003641	YLR401C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR151C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR156C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR158W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR159C-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR160W-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR160C-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR164W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR170C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR169W-A
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR170W-A
orf19.1566	CAWG_04011	CD36_17160	CTRG1_01392	CTRG_01392	CPAR2_210920	CMET_2487	CORT1A10270	CORT0A10270	LELG_00758	DEHA2D11264g	PICST_65683	CANTEDRAFT_100653	SPAPADRAFT_136717	PGUG_00725	CLUG_00142	B9J08_003640	YLR409C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR172W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR174C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR177C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR193C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR195C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR196W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR197C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR198W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR199C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR200C
orf19.1567	CAWG_04012	CD36_17150	CTRG1_01393	CTRG_01393	CPAR2_210930	CMET_2486	CORT1A10280	CORT0A10280	LELG_00759	DEHA2D11242g	PICST_58712	CANTEDRAFT_91779	SPAPADRAFT_50087	PGUG_00724	CLUG_00143	B9J08_003639	YDL077C
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR202W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR203W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR204W
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	YPR204C-A
---	---	---	---	---	---	CMET_1	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_6	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_7	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_8	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_9	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_10	---	---	---	---	---	---	---	---	---	---	---
orf19.1569	CAWG_04013	CD36_17140	CTRG1_01394	CTRG_01394	CPAR2_301810	CMET_4858	CORT1A05460	CORT0A05460	LELG_00574	DEHA2C05742g	PICST_80614	CANTEDRAFT_97903	SPAPADRAFT_137181	PGUG_05318	CLUG_00910	B9J08_005008	YGR090W
---	---	---	---	---	---	CMET_11	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_12	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_13	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_14	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_15	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_17	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_21	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_22	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_24	---	---	---	---	---	---	---	---	---	---	---
orf19.1570	CAWG_04014	CD36_17130	CTRG1_01395	CTRG_01395	CPAR2_301800	CMET_4857	CORT1A05450	CORT0A05450	LELG_00573	DEHA2C05764g	PICST_77382	CANTEDRAFT_105173	SPAPADRAFT_55185	PGUG_05319	CLUG_00911	B9J08_005007	YHR072W
---	---	---	---	---	---	CMET_25	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_26	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_28	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_29	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_31	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_32	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_37	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_38	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_39	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_40	---	---	---	---	---	---	---	---	---	---	---
orf19.1571	CAWG_04016	CD36_17120	CTRG1_01396	CTRG_01396	---	---	---	---	LELG_00572	DEHA2G03564g	PICST_31420	---	SPAPADRAFT_60627	PGUG_02480	CLUG_00653	B9J08_001775	---
---	---	---	---	---	---	CMET_41	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_42	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_44	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_45	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_46	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_47	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_48	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_49	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_50	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_51	---	---	---	---	---	---	---	---	---	---	---
orf19.1573	CAWG_04017	CD36_17110	CTRG1_01398	CTRG_01398	CPAR2_206320	CMET_30	CORT1A05670	CORT0A05670	LELG_00588	DEHA2G03542g	PICST_58093	CANTEDRAFT_100886	SPAPADRAFT_55183	PGUG_02479	CLUG_00654	B9J08_001774	YOR291W
---	---	---	---	---	---	CMET_52	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_53	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_54	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_56	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_57	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_58	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_59	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_60	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_61	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_63	---	---	---	---	---	---	---	---	---	---	---
orf19.1574	CAWG_04018	CD36_17100	CTRG1_01397	CTRG_01397	CPAR2_206330	CMET_33	CORT1A05680	CORT0A05680	LELG_00587	DEHA2G03520g	PICST_44391	CANTEDRAFT_101042	SPAPADRAFT_71151	PGUG_02478	CLUG_00655	B9J08_001773	YMR227C
---	---	---	---	---	---	CMET_64	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_65	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_66	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_67	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_68	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_75	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_76	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_87	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_93	---	---	---	---	---	---	---	---	---	---	---
orf19.1575	CAWG_04019	CD36_17090	CTRG1_01399	CTRG_01399	CPAR2_206340	CMET_34	CORT1A05690	CORT0A05690	LELG_00586	DEHA2G03498g	PICST_65580	CANTEDRAFT_112155	SPAPADRAFT_60624	PGUG_02477	CLUG_00656	B9J08_001772	YHL011C
---	---	---	---	---	---	CMET_167	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_172	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_178	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_179	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_200	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_212	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_221	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_225	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_227	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_236	---	---	---	---	---	---	---	---	---	---	---
orf19.1576	CAWG_04020	CD36_17080	CTRG1_01400	CTRG_01400	CPAR2_206360	CMET_35	CORT1A05710	CORT0A05710	LELG_00584	DEHA2G03454g	PICST_58891	CANTEDRAFT_100543	SPAPADRAFT_151152	PGUG_05283	CLUG_00658	B9J08_001770	YHL010C
---	---	---	---	---	---	CMET_267	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_278	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_279	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_280	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_287	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_295	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_299	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_308	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_311	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_321	---	---	---	---	---	---	---	---	---	---	---
orf19.4551	CAWG_01206	CD36_01580	CTRG1_04354	CTRG_04354	CPAR2_110400	CMET_74	CORT1B11510	CORT0B11510	LELG_01331	DEHA2D09152g	PICST_68034	CANTEDRAFT_110734	SPAPADRAFT_69177	PGUG_04721	CLUG_04482	B9J08_003231	YAR035W
orf19.1577	CAWG_04021	CD36_17070	CTRG1_01401	CTRG_01401	CPAR2_206370	CMET_36	CORT1A05720	CORT0A05720	LELG_00583	DEHA2G03432g	PICST_31414	CANTEDRAFT_91588	SPAPADRAFT_66267	---	CLUG_02575	---	YMR136W
---	---	---	---	---	---	CMET_322	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_323	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_325	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_326	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_333	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_345	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_350	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_361	---	---	---	---	---	---	---	---	---	---	---
orf19.1578	CAWG_04022	CD36_17060	CTRG1_01402	CTRG_01402	CPAR2_206380	CMET_2944	CORT1A05730	CORT0A05730	LELG_00582	DEHA2G03410g	PICST_83216	cten_CGOB_00137	SPAPADRAFT_137651	PGUG_05282	CLUG_00659	B9J08_001769	YMR229C
---	---	---	---	---	---	CMET_364	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_383	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_429	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_445	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_446	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_449	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_450	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_452	---	---	---	---	---	---	---	---	---	---	---
orf19.1580	CAWG_04023	CD36_17050	---	---	---	---	---	---	---	---	---	---	---	PGUG_05142	---	---	---
---	---	---	---	---	---	CMET_461	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_508	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_509	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_518	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_520	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_522	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_540	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_547	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_550	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_555	---	---	---	---	---	---	---	---	---	---	---
orf19.1581	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_567	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_570	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_575	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_583	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_588	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_589	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_596	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_637	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_655	---	---	---	---	---	---	---	---	---	---	---
orf19.1582	CAWG_04025	CD36_17330	CTRG1_01374	CTRG_01374	---	---	---	---	---	---	---	---	SPAPADRAFT_140002	---	---	---	---
---	---	---	---	---	---	CMET_669	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_671	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_680	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_720	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_721	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_722	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_723	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_725	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_726	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_727	---	---	---	---	---	---	---	---	---	---	---
orf19.1584	CAWG_04026	CD36_17370	CTRG1_01373	CTRG_01373	CPAR2_210750	CMET_2525	CORT1A10050	CORT0A10050	LELG_00740	DEHA2B07326g	PICST_36120	CANTEDRAFT_130658	SPAPADRAFT_60767	---	---	---	---
---	---	---	---	---	---	CMET_728	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_729	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_730	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_731	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_782	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_783	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_789	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_797	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_806	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_807	---	---	---	---	---	---	---	---	---	---	---
orf19.1585	CAWG_04027	CD36_17380	CTRG1_01372	CTRG_01372	CPAR2_210740	CMET_2524	CORT1A10060	CORT0A10060	LELG_00738	DEHA2B07304g	PICST_71850	CANTEDRAFT_114457	SPAPADRAFT_60768	PGUG_00743	CLUG_00123	B9J08_003657	YLR130C
---	---	---	---	---	---	CMET_808	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_828	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_834	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_835	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_836	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_848	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_849	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_856	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_858	---	---	---	---	---	---	---	---	---	---	---
orf19.1586	---	CD36_17390	CTRG1_01371	CTRG_01371	---	---	---	---	---	---	---	---	SPAPADRAFT_60801	---	CLUG_00951	B9J08_004962	---
---	---	---	---	---	---	CMET_872	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_878	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_883	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_884	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_894	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_903	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_905	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_907	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_909	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_922	---	---	---	---	---	---	---	---	---	---	---
orf19.1587	CAWG_04029	CD36_17400	CTRG1_01322	CTRG_01322	---	---	---	---	---	DEHA2G04202g	PICST_65135	CANTEDRAFT_117185	SPAPADRAFT_60799	PGUG_02985	CLUG_00950	---	---
---	---	---	---	---	---	CMET_929	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_958	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_969	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1007	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1023	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1031	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1070	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1071	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1072	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1073	---	---	---	---	---	---	---	---	---	---	---
orf19.1588	CAWG_04030	CD36_17410	CTRG1_01370	CTRG_01370	CPAR2_210730	CMET_2523	CORT1A10070	CORT0A10070	LELG_00733	DEHA2A04862g	PICST_31817	CANTEDRAFT_130744	SPAPADRAFT_137798	PGUG_00186	CLUG_00633	---	YBR269C
---	---	---	---	---	---	CMET_1074	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1075	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1076	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1077	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1079	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1080	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1115	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1119	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1126	---	---	---	---	---	---	---	---	---	---	---
orf19.4550	CAWG_01205	CD36_01590	CTRG1_04581	CTRG_04581	CPAR2_108880	CMET_5567	CORT1B09970	CORT0B09970	LELG_01579	DEHA2F12650g	PICST_88213	CANTEDRAFT_136158	SPAPADRAFT_47977	PGUG_00906	CLUG_01150	B9J08_000796	YCR023C
orf19.1589	CAWG_04031	CD36_17420	CTRG1_01341	CTRG_01341	CPAR2_212200	CMET_2355	CORT1A11540	CORT0A11540	LELG_01094	DEHA2G03762g	PICST_18667	CANTEDRAFT_128831	SPAPADRAFT_151502	PGUG_03007	CLUG_04535	B9J08_003087	YJL025W
---	---	---	---	---	---	CMET_1158	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1183	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1233	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1237	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1241	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1248	---	---	---	---	---	---	---	---	---	---	---
orf19.1589.1	CAWG_04032	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1249	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1263	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1278	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1291	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1295	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1311	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1320	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1334	---	---	---	---	---	---	---	---	---	---	---
orf19.5842	CAWG_04033	CD36_17440	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1339	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	CMET_1341	---	---	---	---	---	---	---	---	---	---	---
