# File name: C_albicans_SC5314_C_auris_B8441_orthologs.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r90
# Date created: Fri Aug 23 04:39:02 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C2_09060C_A	ASN1	CAL0000188342	B9J08_002429		CAL0000216591
C3_03930W_A		CAL0000195667	B9J08_003842		CAL0000218625
CR_01340W_A		CAL0000176540	B9J08_000896		CAL0000218645
C7_04260W_A		CAL0000193151	B9J08_002701		CAL0000218657
CR_00880W_A		CAL0000201555	B9J08_003483		CAL0000218661
C2_03780C_A		CAL0000201620	B9J08_005332		CAL0000218673
C4_00790C_A	MLH1	CAL0000200670	B9J08_004425		CAL0000218685
C1_10320W_A		CAL0000183720	B9J08_002893		CAL0000221337
CR_03490W_A	DEM1	CAL0000179448	B9J08_002653		CAL0000221351
CR_10790W_A	MAL2	CAL0000190188	B9J08_001255		CAL0000221357
C4_00230W_A		CAL0000175557	B9J08_003511		CAL0000221403
C2_00860C_A		CAL0000176673	B9J08_003343		CAL0000222997
C2_07810W_A		CAL0000184458	B9J08_005175		CAL0000223049
C1_03450C_A		CAL0000193067	B9J08_004178		CAL0000223055
C1_01300W_A		CAL0000188904	B9J08_002018		CAL0000223057
C3_03030C_A	ECM14	CAL0000185255	B9J08_004526		CAL0000221413
C1_08050W_A		CAL0000176640	B9J08_000586		CAL0000221435
CR_05100W_A		CAL0000178244	B9J08_002698		CAL0000221461
C6_02630C_A		CAL0000186676	B9J08_001627		CAL0000221503
C7_03380W_A		CAL0000200024	B9J08_003786		CAL0000221509
C5_02230W_A		CAL0000179123	B9J08_002550		CAL0000223083
C2_08540C_A		CAL0000191789	B9J08_003022		CAL0000223097
C5_02660C_A		CAL0000198925	B9J08_004843		CAL0000223161
C4_00780C_A		CAL0000181516	B9J08_004424		CAL0000223177
CR_02940C_A		CAL0000188622	B9J08_000930		CAL0000221549
C2_08760C_A	TIF4631	CAL0000188458	B9J08_005188		CAL0000223205
C2_01860C_A		CAL0000179480	B9J08_004857		CAL0000223209
C7_04010W_A	SSQ1	CAL0000196728	B9J08_000276		CAL0000223237
C3_07060W_A	FESUR1	CAL0000184766	B9J08_004753		CAL0000221629
C3_00990C_A		CAL0000201910	B9J08_002616		CAL0000221667
CR_08030C_A	FGR32	CAL0000183213	B9J08_000454		CAL0000221685
C2_09520C_A	CCT2	CAL0000197460	B9J08_004992		CAL0000221695
C4_01260W_A	RLM1	CAL0000179414	B9J08_000772		CAL0000221717
CR_05260C_A	KCS1	CAL0000185409	B9J08_003090		CAL0000221741
C1_12010C_A	KIP4	CAL0000181337	B9J08_000317		CAL0000221747
C1_07910C_A	MRPL3	CAL0000175974	B9J08_001607		CAL0000221797
C1_13820C_A		CAL0000193700	B9J08_003042		CAL0000221799
C3_03730C_A	PHB1	CAL0000180864	B9J08_002273		CAL0000221807
C6_01890C_A		CAL0000180288	B9J08_005373		CAL0000221837
C1_08650C_A	FAD1	CAL0000193566	B9J08_002914		CAL0000221839
C5_00610C_A		CAL0000179109	B9J08_002049		CAL0000221847
CR_03680C_A	SMC1	CAL0000179192	B9J08_004853		CAL0000221857
C2_05720C_A		CAL0000191217	B9J08_000877		CAL0000221861
C3_01720C_A		CAL0000197947	B9J08_001902		CAL0000221901
CR_10290C_A		CAL0000190214	B9J08_002766		CAL0000221923
C1_11630C_A	FUS1	CAL0000187409	B9J08_005262		CAL0000219279
C7_01590C_A		CAL0000182545	B9J08_004727		CAL0000219289
C1_06520C_A	BPH1	CAL0000197663	B9J08_000610		CAL0000219291
C1_13390W_A		CAL0000187419	B9J08_004632		CAL0000219303
C1_05290W_A	GRS1	CAL0000176302	B9J08_003708		CAL0000219307
C6_00790C_A	CTR1	CAL0000196962	B9J08_001856		CAL0000219311
C1_00340W_A	HBR1	CAL0000197369	B9J08_004153		CAL0000219321
CR_02650C_A	DRE2	CAL0000199333	B9J08_004088		CAL0000221925
C3_07710W_A	ABD1	CAL0000182989	B9J08_004811		CAL0000221937
CR_09500C_A		CAL0000195559	B9J08_002405		CAL0000221949
CR_09690C_A	PLB3	CAL0000188254	B9J08_003486		CAL0000221967
C7_04210C_A		CAL0000173937	B9J08_005428		CAL0000221987
CR_06770C_A		CAL0000182499	B9J08_002076		CAL0000221993
C3_01530C_A	CAS4	CAL0000178620	B9J08_000181		CAL0000222009
CR_04710W_A		CAL0000176936	B9J08_005281		CAL0000222011
C2_05640W_A		CAL0000179117	B9J08_002959		CAL0000219365
C2_09290W_A		CAL0000184859	B9J08_003028		CAL0000219379
C2_01710W_A	HSK3	CAL0000198613	B9J08_000153		CAL0000219421
C1_03560C_A	SUA71	CAL0000176820	B9J08_002580		CAL0000219425
C6_04100W_A		CAL0000179063	B9J08_001928		CAL0000219447
C3_01400W_A	END3	CAL0000174035	B9J08_003299		CAL0000219469
C7_01480W_A		CAL0000201029	B9J08_003436		CAL0000222053
C2_07800W_A		CAL0000190781	B9J08_005176		CAL0000222077
C1_01280C_A	MED22	CAL0000189257	B9J08_002016		CAL0000219501
CR_04830C_A		CAL0000178458	B9J08_001971		CAL0000222139
C1_02360C_A	PGA5	CAL0000178583	B9J08_000958		CAL0000222141
C1_06770W_A		CAL0000177463	B9J08_003603		CAL0000222147
C3_01690W_A		CAL0000193635	B9J08_001896		CAL0000222155
C2_05620W_A	KTI11	CAL0000195342	B9J08_002960		CAL0000222157
C1_07060C_A		CAL0000192058	B9J08_005435		CAL0000222175
C5_03160W_A	MED14	CAL0000182774	B9J08_002941		CAL0000222189
C2_09940W_A	GCN4	CAL0000200506	B9J08_004795		CAL0000219579
C1_10530W_A	SNL1	CAL0000179145	B9J08_003557		CAL0000219583
C4_06610C_A	SDH12	CAL0000176470	B9J08_000507		CAL0000219589
C3_04270C_A	CTP1	CAL0000198975	B9J08_003544		CAL0000219591
C1_03980W_A	SPC19	CAL0000196840	B9J08_000621		CAL0000219617
C5_00840W_A		CAL0000197125	B9J08_005048		CAL0000219639
C5_04730C_A	SSD1	CAL0000187484	B9J08_004300		CAL0000219641
C1_08630W_A		CAL0000189535	B9J08_002916		CAL0000219645
C4_05590W_A		CAL0000181003	B9J08_005034		CAL0000219663
C3_03670W_A		CAL0000193742	B9J08_002004		CAL0000219669
C1_07130C_A		CAL0000193155	B9J08_002286		CAL0000222243
C2_08570W_A	ANP1	CAL0000199673	B9J08_000132		CAL0000222251
C3_04110C_A	MBP1	CAL0000186541	B9J08_002344		CAL0000222285
C1_08080C_A		CAL0000199894	B9J08_004229		CAL0000222293
C4_03920W_A		CAL0000174468	B9J08_000303		CAL0000222303
C6_02310W_A		CAL0000187221	B9J08_001349		CAL0000222343
C3_03760W_A		CAL0000178276	B9J08_001682		CAL0000222347
C4_02530W_A	ARG83	CAL0000185229	B9J08_001786		CAL0000219725
CR_10130W_A		CAL0000200816	B9J08_002760		CAL0000219755
C1_11170W_A	WBP1	CAL0000193403	B9J08_005304		CAL0000222389
C6_01190C_A	VPS15	CAL0000193001	B9J08_005396		CAL0000222411
CR_07960C_A	TRK1	CAL0000190529	B9J08_002080		CAL0000222415
C6_00430C_A		CAL0000182959	B9J08_000518		CAL0000222423
C2_02050C_A		CAL0000191145	B9J08_001195		CAL0000219805
C7_00820W_A	RFC2	CAL0000195843	B9J08_005418		CAL0000219811
C1_07440W_A		CAL0000196864	B9J08_001612		CAL0000219817
C6_00820W_A	SUN41	CAL0000175157	B9J08_005359		CAL0000219821
C5_04720C_A		CAL0000195996	B9J08_004299		CAL0000219823
C5_00060C_A		CAL0000184933	B9J08_001710		CAL0000219825
C5_04630W_A		CAL0000191909	B9J08_004402		CAL0000219851
C3_06060W_A	ELP3	CAL0000193262	B9J08_001912		CAL0000219879
C2_10470C_A		CAL0000194879	B9J08_003743		CAL0000222457
C1_12820C_A		CAL0000198535	B9J08_003940		CAL0000222469
C7_03390C_A	PUP3	CAL0000180706	B9J08_003787		CAL0000222477
C6_03890C_A	SKI8	CAL0000201104	B9J08_000198		CAL0000222481
C2_03200W_A	PRP3	CAL0000177949	B9J08_004598		CAL0000222537
C1_03620C_A		CAL0000190913	B9J08_004672		CAL0000222545
C2_08200W_A		CAL0000197506	B9J08_004018		CAL0000219951
C4_07110C_A	PDA1	CAL0000181135	B9J08_003785		CAL0000219985
C3_00400C_A		CAL0000188088	B9J08_004011		CAL0000219987
C3_07150C_A	RPS12	CAL0000200890	B9J08_004761		CAL0000220005
C5_04430C_A	YUH2	CAL0000184421	B9J08_004363		CAL0000220019
C3_03040W_A	AIP2	CAL0000192859	B9J08_002780		CAL0000222587
C4_03120C_A	BUB1	CAL0000187122	B9J08_004346		CAL0000222595
C1_02450C_A		CAL0000190982	B9J08_002602		CAL0000222607
CR_00400C_A	SWC4	CAL0000199374	B9J08_000923		CAL0000222611
C6_02640C_A		CAL0000193676	B9J08_000556		CAL0000222615
C5_00190C_A	FAS1	CAL0000183162	B9J08_001296		CAL0000222645
CR_03910C_A	TAF12L	CAL0000200014	B9J08_003412		CAL0000222651
C4_01670C_A		CAL0000195396	B9J08_005235		CAL0000220689
C1_11570W_A		CAL0000183496	B9J08_001575		CAL0000220709
C2_07470W_A	YCS4	CAL0000201859	B9J08_001141		CAL0000220717
CR_07340C_A		CAL0000200205	B9J08_000571		CAL0000220719
CR_03240C_A		CAL0000195354	B9J08_003498		CAL0000220737
CR_01740W_A	MCI4	CAL0000198704	B9J08_001178		CAL0000222673
C3_07410C_A	KRS1	CAL0000185145	B9J08_001878		CAL0000222685
C6_00690W_A		CAL0000182256	B9J08_001866		CAL0000222691
C6_04240W_A		CAL0000176965	B9J08_003004		CAL0000222693
C1_07510W_A		CAL0000185809	B9J08_003153		CAL0000222703
C7_00710W_A	RPS28B	CAL0000196464	B9J08_003288		CAL0000222727
C7_00370W_A	DCC1	CAL0000186528	B9J08_000232		CAL0000222733
C3_07900C_A		CAL0000183174	B9J08_005157		CAL0000222739
C6_00870C_A	ILV5	CAL0000180692	B9J08_003440		CAL0000222753
C4_04660C_A		CAL0000178924	B9J08_004213		CAL0000220755
C2_02950W_A	BNA31	CAL0000179444	B9J08_003979		CAL0000220785
C7_03310W_A		CAL0000199598	B9J08_000844		CAL0000221159
C1_02060W_A		CAL0000201283	B9J08_000493		CAL0000221195
CR_08910C_A	RPN7	CAL0000177306	B9J08_004657		CAL0000222799
C1_04540C_A	VPS16	CAL0000185387	B9J08_003380		CAL0000222841
C2_09970C_A		CAL0000180100	B9J08_003809		CAL0000221219
C1_05460W_A	KOG1	CAL0000176926	B9J08_003700		CAL0000221235
C1_04860W_A		CAL0000177097	B9J08_004487		CAL0000221259
C5_04550W_A		CAL0000193293	B9J08_004394		CAL0000221271
C2_05860C_A		CAL0000190238	B9J08_003179		CAL0000222871
C5_01320W_A	SNF1	CAL0000201729	B9J08_002060		CAL0000222875
CR_07480W_A		CAL0000180922	B9J08_002087		CAL0000222879
C2_04800C_A	MDM10	CAL0000180412	B9J08_002948		CAL0000222899
C5_03560W_A		CAL0000179768	B9J08_004694		CAL0000222917
C1_13550C_A	NUP49	CAL0000193504	B9J08_004630		CAL0000222925
CR_06970C_A		CAL0000181470	B9J08_001691		CAL0000222945
C2_08370C_A	TEF1	CAL0000196936	B9J08_003610		CAL0000222955
CR_04780W_A	RPB8	CAL0000181508	B9J08_001979		CAL0000222969
C2_07880W_A	APM4	CAL0000182232	B9J08_004196		CAL0000222971
C2_06940C_A	ARE2	CAL0000193318	B9J08_002807		CAL0000226917
C5_00540C_A	AGA1	CAL0000180646	B9J08_000440		CAL0000226923
C1_01540W_A		CAL0000177685	B9J08_001051		CAL0000226947
C4_01870C_A	ERG8	CAL0000200676	B9J08_001389		CAL0000226951
C5_01100C_A	CLN3	CAL0000185532	B9J08_000422		CAL0000227001
C7_04180W_A	FAA2-3	CAL0000174942	B9J08_004931		CAL0000227011
C7_01930C_A		CAL0000174880	B9J08_001563		CAL0000227013
C7_02180C_A	TRS33	CAL0000186589	B9J08_004678		CAL0000227033
C5_05050W_A	ADH1	CAL0000187038	B9J08_004331		CAL0000227035
C1_12950W_A		CAL0000180039	B9J08_004139		CAL0000227039
C3_01100W_A		CAL0000186601	B9J08_002621		CAL0000227051
C1_01100W_A	CCH1	CAL0000177769	B9J08_003401		CAL0000227151
C4_04000W_A	MET4	CAL0000197561	B9J08_005199		CAL0000227265
CR_02430C_A		CAL0000192740	B9J08_001132		CAL0000227283
C2_07100W_A		CAL0000199592	B9J08_002797		CAL0000227305
C1_11450C_A	SAM2	CAL0000185243	B9J08_001467		CAL0000227323
C5_04950C_A		CAL0000184720	B9J08_004304		CAL0000227351
C1_05920W_A		CAL0000195198	B9J08_002543		CAL0000227379
CR_06120W_A	RPL7	CAL0000194902	B9J08_000233		CAL0000227393
CR_03950W_A		CAL0000189038	B9J08_001837		CAL0000227433
C1_02300W_A		CAL0000200924	B9J08_000952		CAL0000227437
C1_03780C_A	HMG1	CAL0000177752	B9J08_003224		CAL0000227457
C2_09010W_A	STB3	CAL0000192161	B9J08_002423		CAL0000227461
C1_00950C_A	CDC5	CAL0000177027	B9J08_003424		CAL0000227517
C5_02290W_A	PDE1	CAL0000177603	B9J08_002549		CAL0000227543
C7_01920W_A	CDC34	CAL0000191325	B9J08_001564		CAL0000225899
C1_09800C_A	TVP18	CAL0000196216	B9J08_004050		CAL0000225911
C3_03580C_A	GTT13	CAL0000173921	B9J08_001995		CAL0000225915
C6_03050C_A		CAL0000191430	B9J08_004236		CAL0000225917
C2_06660W_A		CAL0000179859	B9J08_002828		CAL0000225925
C7_00840C_A		CAL0000195554	B9J08_005422		CAL0000225935
C1_13440C_A	OFI1	CAL0000190493	B9J08_004638		CAL0000225943
CR_10530W_A		CAL0000195149	B9J08_001247		CAL0000225979
C3_04750W_A		CAL0000185746	B9J08_001731		CAL0000225993
C1_11560C_A		CAL0000179722	B9J08_001574		CAL0000227559
C3_01600W_A	PPH21	CAL0000200555	B9J08_001890		CAL0000227573
C3_04060C_A	HEM13	CAL0000191428	B9J08_001161		CAL0000227581
CR_10520C_A	SLD5	CAL0000200542	B9J08_001246		CAL0000227601
CR_01110W_A	SRP54	CAL0000195229	B9J08_001442		CAL0000227617
C3_02560W_A	DDC1	CAL0000196580	B9J08_000412		CAL0000217033
C5_04160W_A	SDC1	CAL0000182262	B9J08_000531		CAL0000226011
C4_05630W_A		CAL0000186561	B9J08_005038		CAL0000226017
C4_06500W_A	CDC68	CAL0000198046	B9J08_002224		CAL0000226021
C1_02220C_A		CAL0000191549	B9J08_000944		CAL0000226039
C4_04810C_A		CAL0000183898	B9J08_002316		CAL0000227673
C7_01400C_A		CAL0000176257	B9J08_002140		CAL0000227675
C2_09620W_A		CAL0000180758	B9J08_002391		CAL0000227677
CR_07710W_A	ARO2	CAL0000185781	B9J08_000465		CAL0000227707
C3_05970C_A	HAL3	CAL0000188367	B9J08_001921		CAL0000227733
CR_10680W_A	RPO21	CAL0000175853	B9J08_001256		CAL0000227759
CR_07690W_A		CAL0000187758	B9J08_000884		CAL0000226103
C5_05370C_A	PRP22	CAL0000197565	B9J08_001476		CAL0000226105
C5_00350C_A		CAL0000190990	B9J08_001309		CAL0000226121
C3_01350C_A	URA3	CAL0000191638	B9J08_003309		CAL0000226145
C2_00250W_A	STF2	CAL0000185307	B9J08_002869		CAL0000226147
CR_07440W_A	ACE2	CAL0000191878	B9J08_000468		CAL0000227779
C1_03350C_A	RLI1	CAL0000178640	B9J08_000705		CAL0000227791
C7_00470C_A	PEL1	CAL0000190252	B9J08_000222		CAL0000227819
C1_04230W_A		CAL0000175707	B9J08_003357		CAL0000227837
CR_04870C_A		CAL0000186718	B9J08_001968		CAL0000227841
C2_04460W_A	LYS22	CAL0000201759	B9J08_003722		CAL0000227865
C5_01190W_A		CAL0000195467	B9J08_000429		CAL0000227873
C6_04160C_A	SPB1	CAL0000201177	B9J08_001430		CAL0000226187
C1_04200C_A		CAL0000191426	B9J08_003360		CAL0000226203
CR_06340C_A	PGI1	CAL0000197690	B9J08_000808		CAL0000226215
C1_08780W_A		CAL0000197686	B9J08_004776		CAL0000226245
C1_01090C_A		CAL0000176154	B9J08_003400		CAL0000226253
C3_03550C_A	ULP1	CAL0000195141	B9J08_002271		CAL0000227881
C2_06470W_A	RTA2	CAL0000175352	B9J08_000078		CAL0000227887
CR_02380C_A		CAL0000183553	B9J08_000366		CAL0000227891
C4_03070W_A	PGA54	CAL0000192137	B9J08_001426		CAL0000227913
C4_00430W_A	MEP2	CAL0000174646	B9J08_004878		CAL0000227927
CR_07720C_A	CDC45	CAL0000175112	B9J08_004262		CAL0000227929
CR_04720C_A		CAL0000196418	B9J08_001972		CAL0000227953
C1_07500C_A	LHP1	CAL0000195360	B9J08_003154		CAL0000227957
CR_10390W_A		CAL0000190083	B9J08_000539		CAL0000227977
C7_00920C_A		CAL0000194521	B9J08_003277		CAL0000226293
C5_04400W_A	RNY11	CAL0000196842	B9J08_004351		CAL0000226325
C4_03090W_A		CAL0000181129	B9J08_001425		CAL0000226365
C4_02250C_A	BGL2	CAL0000186956	B9J08_001418		CAL0000226369
C5_05430W_A	PEX4	CAL0000177254	B9J08_003386		CAL0000228013
CR_00390W_A	MMS22	CAL0000177845	B9J08_000922		CAL0000228037
CR_09830W_A		CAL0000178856	B9J08_005168		CAL0000228067
C4_01970W_A		CAL0000186934	B9J08_002205		CAL0000226387
CR_00810W_A		CAL0000190033	B9J08_001023		CAL0000226399
C4_00740W_A		CAL0000175247	B9J08_004414		CAL0000226461
C2_07730W_A	YVC1	CAL0000187018	B9J08_001811		CAL0000226475
C3_03480C_A	ALT1	CAL0000189002	B9J08_001713		CAL0000228109
C4_06490C_A	PRI2	CAL0000183113	B9J08_002225		CAL0000228115
C2_03370W_A	THI20	CAL0000198499	B9J08_004288		CAL0000228151
C7_03450C_A	HSM3	CAL0000181303	B9J08_003789		CAL0000226485
C2_09990C_A	YOR1	CAL0000195863	B9J08_003323		CAL0000226527
C2_06360C_A	MAK16	CAL0000176460	B9J08_000077		CAL0000226547
C3_02540C_A	OXR1	CAL0000197295	B9J08_000410		CAL0000226559
C1_09390W_A		CAL0000175281	B9J08_003196		CAL0000226601
C7_01720W_A		CAL0000176902	B9J08_005093		CAL0000226617
C3_06630W_A		CAL0000186237	B9J08_002897		CAL0000226621
C1_07190W_A	SOG2	CAL0000181590	B9J08_003868		CAL0000226651
C5_05210W_A		CAL0000198570	B9J08_003971		CAL0000226701
C2_09890W_A	SMM1	CAL0000181192	B9J08_001013		CAL0000226721
C5_01780W_A	PAP1	CAL0000194576	B9J08_001453		CAL0000226731
C1_08310W_A	OPY2	CAL0000195807	B9J08_003616		CAL0000226757
C2_03360W_A		CAL0000182731	B9J08_004289		CAL0000226817
C4_06870W_A	RPT5	CAL0000178035	B9J08_003778		CAL0000226845
C5_05120W_A	CCT3	CAL0000198447	B9J08_004338		CAL0000226847
C6_02240C_A	RPL10A	CAL0000174170	B9J08_001922		CAL0000226857
C1_05710C_A	UGA4	CAL0000180274	B9J08_005491		CAL0000226895
CR_05290W_A	MNT3	CAL0000188769	B9J08_003091		CAL0000217071
C7_03790W_A	MRP7	CAL0000182661	B9J08_000217		CAL0000217135
C7_02490W_A	PEX1	CAL0000198292	B9J08_005464		CAL0000217145
C1_08530W_A		CAL0000195070	B9J08_000292		CAL0000217149
C2_02810C_A	NCB2	CAL0000180502	B9J08_003075		CAL0000217175
C7_03630C_A	TIM9	CAL0000177007	B9J08_002112		CAL0000217187
C5_02680W_A		CAL0000193059	B9J08_002656		CAL0000217209
C2_07820C_A	PHO86	CAL0000182539	B9J08_005174		CAL0000217225
CR_01130W_A		CAL0000201934	B9J08_004246		CAL0000217233
C7_00210C_A		CAL0000186191	B9J08_002573		CAL0000220669
C2_06390C_A	IMH3	CAL0000175344	B9J08_000075		CAL0000223259
C1_00450C_A		CAL0000194733	B9J08_003169		CAL0000223267
C3_03880C_A	PEP8	CAL0000199432	B9J08_003307		CAL0000223269
C3_04030C_A	PEX8	CAL0000178749	B9J08_001164		CAL0000223273
C2_01400C_A	ESC4	CAL0000185341	B9J08_003855		CAL0000223281
C1_08060W_A	OFR1	CAL0000174295	B9J08_000478		CAL0000223289
C2_06680W_A	FRP3	CAL0000177981	B9J08_002831		CAL0000223301
C2_09360W_A		CAL0000200183	B9J08_003033		CAL0000223317
C2_03900C_A		CAL0000189200	B9J08_005325		CAL0000223327
CR_03550W_A	NCS2	CAL0000189560	B9J08_002644		CAL0000223339
C3_06870W_A	TDH3	CAL0000197744	B9J08_001227		CAL0000223349
C2_04240C_A	HYM1	CAL0000174685	B9J08_002454		CAL0000223387
C3_02970C_A		CAL0000177841	B9J08_001204		CAL0000223393
C4_04890C_A	RPL24A	CAL0000190222	B9J08_002718		CAL0000223403
C2_07060W_A		CAL0000197531	B9J08_002800		CAL0000223495
C5_05440C_A		CAL0000199819	B9J08_005294		CAL0000223505
C1_02420C_A	GSC1	CAL0000176780	B9J08_000964		CAL0000223529
C1_00110W_A	CCT8	CAL0000175759	B9J08_001271		CAL0000223561
CR_10800C_A		CAL0000176657	B9J08_001254		CAL0000223563
C5_04860C_A		CAL0000176610	B9J08_004315		CAL0000223643
C2_01670C_A	STT3	CAL0000175183	B9J08_000148		CAL0000223673
C3_07350W_A		CAL0000180326	B9J08_003570		CAL0000223677
C3_07260C_A	ECM29	CAL0000189348	B9J08_004768		CAL0000223701
C1_11930W_A		CAL0000197541	B9J08_005263		CAL0000223717
C1_00370W_B		CAL0000200975	B9J08_002175		CAL0000223721
CR_06020W_A		CAL0000198167	B9J08_000663		CAL0000223741
C1_03820W_A	PDR16	CAL0000191119	B9J08_004982		CAL0000223761
C2_05750W_A		CAL0000191069	B9J08_000883		CAL0000223767
C3_07170C_A		CAL0000176006	B9J08_004762		CAL0000223773
C1_08120W_A	BUD6	CAL0000191626	B9J08_004233		CAL0000223789
C4_00860C_A		CAL0000184573	B9J08_001080		CAL0000220549
C5_05100C_A	DUN1	CAL0000178305	B9J08_004336		CAL0000220557
C5_01680C_A	CCN1	CAL0000199358	B9J08_001462		CAL0000220569
C3_02780W_A	SES1	CAL0000183348	B9J08_005057		CAL0000220615
C4_05290W_A	ABZ1	CAL0000183785	B9J08_005218		CAL0000220815
C3_06230W_A	CYM1	CAL0000201699	B9J08_000037		CAL0000220603
C2_10440C_A	RAD1	CAL0000176746	B9J08_003740		CAL0000224083
C3_01390C_A	GEA2	CAL0000192304	B9J08_003310		CAL0000224109
C2_06770W_A		CAL0000192977	B9J08_000067		CAL0000224139
CR_00100C_A	EPL1	CAL0000195210	B9J08_002679		CAL0000224147
C2_01220W_A		CAL0000193461	B9J08_003048		CAL0000224151
C4_05850C_A		CAL0000177485	B9J08_004872		CAL0000224155
CR_08040W_A		CAL0000200346	B9J08_000097		CAL0000224189
C4_00600C_A	MUC1	CAL0000201291	B9J08_003526		CAL0000224191
C7_01820C_A	VMA11	CAL0000184536	B9J08_004933		CAL0000224199
C6_03440W_A		CAL0000174731	B9J08_000201		CAL0000224201
C1_01830C_A	UBC8	CAL0000197909	B9J08_004658		CAL0000224207
C1_11420W_A	KRR1	CAL0000200947	B9J08_001471		CAL0000220861
C4_03170W_A		CAL0000199933	B9J08_004710		CAL0000224271
C3_07570C_A		CAL0000178759	B9J08_001749		CAL0000224279
C3_03690W_A		CAL0000187845	B9J08_002006		CAL0000224293
C7_01270C_A		CAL0000176214	B9J08_005459		CAL0000224373
C5_01690C_A	CCT7	CAL0000187631	B9J08_001461		CAL0000221819
C3_05290C_A		CAL0000195825	B9J08_004438		CAL0000222003
C4_06790W_A		CAL0000198582	B9J08_003775		CAL0000222355
CR_01730W_A	IFU5	CAL0000197450	B9J08_001179		CAL0000224395
C1_12410C_A	PKH2	CAL0000187991	B9J08_003920		CAL0000224399
CR_08010W_A	DAD4	CAL0000190531	B9J08_000452		CAL0000224439
C3_07340W_A	GCY1	CAL0000178508	B9J08_003568		CAL0000224441
CR_02560C_A	ASG1	CAL0000181714	B9J08_002448		CAL0000224473
C7_04150W_A		CAL0000194737	B9J08_004919		CAL0000223853
CR_03260W_A		CAL0000196868	B9J08_002976		CAL0000223863
C2_04940C_A	ITR1	CAL0000201160	B9J08_000172		CAL0000223993
C1_14460W_A		CAL0000177137	B9J08_005445		CAL0000224017
CR_05670C_A	HMO1	CAL0000192851	B9J08_005121		CAL0000224031
C2_02280W_A		CAL0000191753	B9J08_003654		CAL0000224039
C7_01970C_A	TOM40	CAL0000180112	B9J08_004927		CAL0000224059
C3_06340W_A	HNT2	CAL0000200540	B9J08_000646		CAL0000224479
C1_08610C_A		CAL0000188012	B9J08_001351		CAL0000224481
C4_05540W_A	HOM3	CAL0000181037	B9J08_003217		CAL0000224511
C1_05660C_A		CAL0000175577	B9J08_005087		CAL0000224551
C6_02160W_A		CAL0000180548	B9J08_000549		CAL0000224571
C1_12310C_A	CSI2	CAL0000186593	B9J08_003927		CAL0000224577
C5_03380W_A	ARP1	CAL0000177256	B9J08_004075		CAL0000224587
C2_05280C_A	GPI19	CAL0000176510	B9J08_002468		CAL0000224589
C3_00160C_A		CAL0000189131	B9J08_001778		CAL0000225431
C1_01810C_A	UGA2	CAL0000192412	B9J08_004659		CAL0000225433
CR_00680W_A	BUD22	CAL0000194312	B9J08_002154		CAL0000225447
C2_05690C_A	YTH1	CAL0000192895	B9J08_000873		CAL0000225475
C2_06000W_A	LAS1	CAL0000192189	B9J08_002952		CAL0000225489
C2_04870C_A		CAL0000181452	B9J08_003201		CAL0000225503
C4_04230W_A		CAL0000177918	B9J08_004830		CAL0000225523
C2_02290C_A		CAL0000186712	B9J08_003653		CAL0000225547
CR_10740W_A	CSM1	CAL0000199588	B9J08_001262		CAL0000225587
C1_12260W_A	VPH2	CAL0000185428	B9J08_003933		CAL0000225613
C7_02530C_A		CAL0000186333	B9J08_001027		CAL0000225619
C4_00560C_A	MMM1	CAL0000191719	B9J08_004407		CAL0000225663
C5_03170C_A		CAL0000181141	B9J08_002939		CAL0000225695
C7_03670W_A	DED81	CAL0000197236	B9J08_002116		CAL0000225699
CR_04450C_A		CAL0000173973	B9J08_002562		CAL0000225701
C2_03500W_A		CAL0000199665	B9J08_003451		CAL0000225703
CR_03900W_A	HST7	CAL0000197730	B9J08_002544		CAL0000225737
C2_08830W_A		CAL0000175358	B9J08_000500		CAL0000225743
C2_09830C_A		CAL0000200718	B9J08_001010		CAL0000225747
C1_10670C_A	RPA190	CAL0000187313	B9J08_004222		CAL0000225749
C2_01410C_A	CLB2	CAL0000189817	B9J08_003856		CAL0000225757
C1_08680C_A		CAL0000194595	B9J08_002911		CAL0000225775
C4_06260W_A	PGA43	CAL0000197415	B9J08_000919		CAL0000225865
CR_10250C_A	FDH3	CAL0000175789	B9J08_002769		CAL0000225885
C5_03300C_A		CAL0000201098	B9J08_002933		CAL0000226823
C1_12430W_A		CAL0000176804	B9J08_003922		CAL0000226829
C7_02630W_A		CAL0000192065	B9J08_001032		CAL0000216053
C1_10170W_A		CAL0000179752	B9J08_004037		CAL0000216447
C6_02140W_A		CAL0000196074	B9J08_000547		CAL0000216449
C5_01110W_A		CAL0000189600	B9J08_000423		CAL0000216537
CR_08840C_A	NIT2	CAL0000178547	B9J08_000845		CAL0000216149
C7_01160C_A		CAL0000179541	B9J08_000715		CAL0000216553
C2_04300C_A		CAL0000178585	B9J08_003731		CAL0000216469
CR_06080W_A	SIS1	CAL0000193586	B9J08_000236		CAL0000216471
C6_01220C_A		CAL0000187685	B9J08_005401		CAL0000216567
C1_00520W_A		CAL0000184166	B9J08_002172		CAL0000216183
C1_12920C_A		CAL0000183125	B9J08_004141		CAL0000216575
